Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2D2lazsae9o1UoVPUAdxyT,"21","21","Gracie Abrams",2020-02-20,185172,31,false,,1970-01-01T00:00:00Z,"","Gracie Abrams, under exclusive license to Interscope Records",0.756,0.673,2,-6.336,1,0.0899,0.516,0,0.109,0.402,125.055,4
spotify:track:2RvLlxea9woaqb2ZLgAmv7,"emma","emma","Casper",2023-06-15,195066,40,false,,1970-01-01T00:00:00Z,"deutscher hip-hop,deutscher indie,deutscher pop,deutscher indie pop","EKLAT Tonträger/Warner Music Central Europe",0.459,0.429,9,-11.795,1,0.0429,0.669,0.0000733,0.287,0.264,163.857,4
spotify:track:53dtP2iUMvaF28JZcHnFuU,"logical","GUTS","Olivia Rodrigo",2023-09-08,231907,71,false,,1970-01-01T00:00:00Z,"","Olivia Rodrigo PS",0.48,0.24,7,-8.146,1,0.0323,0.844,0,0.099,0.152,80.686,4
spotify:track:401qSkk4KOeBVld2aiCAoK,"Lovers to Strangers","Lovers to Strangers","Chance Peña",2023-07-14,174086,52,true,,1970-01-01T00:00:00Z,"","Chance Peña",0.509,0.312,7,-11.453,1,0.0312,0.0987,0,0.344,0.202,116.092,4
spotify:track:2hkcv7xQJgmLvCY3XSixjG,"Dussmann","OLYMPIA","Betterov",2022-10-14,217551,45,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,neue deutsche welle,deutscher pop","Island Records",0.496,0.927,7,-3.71,1,0.0563,0.0000525,0.0724,0.143,0.696,89.978,4
spotify:track:5ivmcr2ey37sIiZGlKu9IA,"Epilog?","Epilog?","Eden Bleak",2022-10-07,187889,14,false,,1970-01-01T00:00:00Z,"deutscher indie,neue deutsche welle","DOLSIRA Music",0.426,0.703,1,-7.371,0,0.0456,0.266,0.00941,0.11,0.112,77.027,4
spotify:track:7EHEVPIFS6mOq4BOhlVL3i,"letzter song","trip","CRO",2021-04-29,182471,63,false,,1970-01-01T00:00:00Z,"deutscher hip-hop,deutscher indie,deutscher pop,deutscher indie pop","Urban",0.468,0.42,2,-11.865,1,0.0356,0.582,0.708,0.114,0.234,97.517,3
spotify:track:3Iq8XToI0I9KSnqovkv1AV,"Vertigo","Vertigo","Edwin Rosen",2022-01-28,210191,67,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,neue deutsche welle","IRRSINN Tonträger",0.488,0.868,8,-5.266,1,0.0333,0.00615,0.0169,0.0877,0.345,156.996,4
spotify:track:0X68QrKcRNBXWrVE6iMxKi,"nervenheilanstalt","nervenheilanstalt","Tiavo",2023-05-19,186000,31,false,,1970-01-01T00:00:00Z,"neue deutsche welle,deutscher indie,deutscher hip-hop,deutscher indie pop","tiavo",0.653,0.83,11,-5.864,0,0.0409,0.00245,0.0228,0.332,0.725,159.991,4
spotify:track:1kuGVB7EU95pJObxwvfwKS,"vampire","GUTS","Olivia Rodrigo",2023-09-08,219724,85,true,,1970-01-01T00:00:00Z,"","Olivia Rodrigo PS",0.484,0.53,5,-5.821,1,0.0538,0.154,0,0.263,0.323,136.848,4
spotify:track:7BhOH16ud5ybFUeP3wwhby,"Bleeding Out","Bleeding Out","Chance Peña",2023-01-20,208608,67,false,,1970-01-01T00:00:00Z,"","Chance Peña",0.59,0.438,9,-12.407,0,0.0363,0.728,0.0000102,0.0937,0.352,120.611,4
spotify:track:2MQCPdWjQl2FDHMj9L4XqR,"Wir sind X","Almost Home","Sharaktah",2021-10-08,203571,40,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher pop","Epic Local",0.625,0.566,5,-7.815,1,0.0342,0.49,0,0.0966,0.142,104.97,4
spotify:track:55XOUxXsBBbC07PD3Zml3F,"Maze","Death Race For Love (Bonus Track Version)","Juice WRLD",2019-03-08,144090,67,true,,1970-01-01T00:00:00Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.674,0.726,11,-3.813,0,0.141,0.125,0.00000156,0.115,0.443,160.067,4
spotify:track:3Nl5OkkmS5DaBZvuYofpAt,"the grudge","GUTS","Olivia Rodrigo",2023-09-08,189386,76,true,,1970-01-01T00:00:00Z,"","Olivia Rodrigo PS",0.511,0.313,10,-9.32,1,0.0846,0.905,0,0.0832,0.331,126.962,4
spotify:track:0tujnJbTdGtlGpjxv2do5r,"Jede Nacht","Jede Nacht","Eden Bleak",2022-09-16,184615,5,false,,1970-01-01T00:00:00Z,"deutscher indie,neue deutsche welle","DOLSIRA Music",0.561,0.757,7,-6.558,0,0.0649,0.276,0,0.184,0.195,77.975,4
spotify:track:76YSWx6L6FNsuaP6GWBb8P,"All For Us","Imagination & the Misfit Kid","Labrinth;Zendaya",2019-11-21,191710,72,false,,1970-01-01T00:00:00Z,"","Syco Music",0.46,0.66,3,-6.642,1,0.0652,0.0108,0.000139,0.34,0.18,141.722,4
spotify:track:003vvx7Niy0yvhvHt4a68B,"Mr. Brightside","Hot Fuss","The Killers",2004,222973,89,false,,1970-01-01T00:00:00Z,"alternative rock","Island Records",0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,4
spotify:track:7nftwanrXNZxK2l1W6tmHl,"Mh Mh","Mh Mh","badmómzjay;Juju",2023-07-20,142999,40,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Vertigo Berlin",0.826,0.745,9,-6.933,0,0.0465,0.00836,0.016,0.292,0.68,143.034,4
spotify:track:7kizsInsKbkwsJUBOncDuQ,"ON SOME HIGH","BOY OH BOY","SEBASTIAN PAUL",2019-09-13,239120,51,false,,1970-01-01T00:00:00Z,"","Mad Decent",0.411,0.447,4,-9.628,1,0.0956,0.423,0.0000092,0.28,0.259,113.664,5
