Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2GxrNKugF82CnoRFbQfzPf,"i like the way you kiss me","i like the way you kiss me","Artemas",2024-03-19,142514,81,false,,1970-01-01T00:00:00Z,"","Artemas",0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,4
spotify:track:7jWNHuhGttkZmIVlxQ4Nh5,"Altbaudielen","Altbaudielen","Ivo Martin",2024-02-16,150382,46,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher pop","Epic Local",0.587,0.3,7,-9.74,1,0.0597,0.781,0.0000022,0.0925,0.547,68.717,4
spotify:track:0QTGYi9HA0ZesLVpDdk6jq,"Benzin","Benzin","Jugo Ürdens;Tiavo",2024-08-23,174004,24,false,,1970-01-01T00:00:00Z,"deutscher hip-hop,neue deutsche welle,deutscher indie,deutscher indie pop","Epic Local",0.65,0.757,7,-4.861,1,0.113,0.14,0.0000141,0.424,0.746,159.916,4
spotify:track:6FhrSFDYQgVcvWJ6y03pmB,"Eine Ode an Wien","Wiener Schickeria","BIBIZA",2023-06-02,186500,50,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,neue deutsche welle","Columbia/BIBIZA",0.743,0.869,4,-3.435,0,0.035,0.0221,0.0000639,0.244,0.908,124.004,4
spotify:track:7bkUa9kDFGxgCC7d36dzFI,"Rote Flaggen","ROTE FLAGGEN","Berq",2023-05-25,224591,70,true,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher pop","Urban",0.359,0.336,1,-12.895,0,0.0422,0.773,0,0.184,0.109,109.94,3
spotify:track:0CXDYCitN5F7l3J6u7Q5Wd,"Panik","Panik","SKUPPIN",2024-09-13,150115,21,false,,1970-01-01T00:00:00Z,"neue deutsche welle,deutscher indie,darkwave,cold wave,post-punk,deutscher indie pop","ALL ROOMS",0.623,0.681,1,-8.609,0,0.0322,0.366,0.698,0.115,0.52,130.068,4
spotify:track:7dIi6DS9RA6PDTU90CcNoV,"fuß baumeln","fuß baumeln","Zartmann;Drumla",2024-03-15,147004,45,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher pop","Bamboo Artists/Epic",0.432,0.55,4,-8.19,1,0.119,0.381,0,0.0909,0.698,159.603,4
spotify:track:0FmMsF3ptcfuZWW1HmvaRQ,"Schick mit Scheck","Wiener Schickeria","BIBIZA",2023-06-02,132300,40,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,neue deutsche welle","Columbia/BIBIZA",0.894,0.67,9,-3.764,0,0.281,0.00755,0.0000029,0.125,0.944,120.061,4
spotify:track:1Vp0bkf6uEF72RMiPdsdn3,"STILL","STILL","Berq",2024-08-15,136482,46,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher pop","Urban",0.442,0.505,0,-7.857,1,0.0574,0.537,0,0.514,0.417,103.026,4
spotify:track:3Nl5OkkmS5DaBZvuYofpAt,"the grudge","GUTS","Olivia Rodrigo",2023-09-08,189386,76,true,,1970-01-01T00:00:00Z,"","Olivia Rodrigo PS",0.511,0.313,10,-9.32,1,0.0846,0.905,0,0.0832,0.331,126.962,4
spotify:track:5V03tsbEzYG0PmRrh3K4rF,"Rockland","This Is What It Feels Like","Gracie Abrams",2021-11-12,217368,63,false,,1970-01-01T00:00:00Z,"","Gracie Abrams, under exclusive license to Interscope Records",0.568,0.402,5,-11.344,1,0.0448,0.787,0.000188,0.103,0.397,125.743,4
spotify:track:3edFSoZ9Iz3kcFOGsn6RNQ,"XY","XY","error",2024-05-17,167016,26,true,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher pop","Warner Music Central Europe",0.802,0.672,10,-5.862,0,0.0731,0.677,0.15,0.112,0.432,130.071,4
spotify:track:0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!","Good Luck, Babe!","Chappell Roan",2024-04-05,218423,90,false,,1970-01-01T00:00:00Z,"","Chappell Roan PS/ Island",0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
spotify:track:1CfXReZpkv5l10m1Zc1mGn,"meer","meer","JEREMIAS",2024-09-06,226151,6,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher pop","JEREMIAS",0.325,0.599,9,-8.358,1,0.0512,0.247,0.0000965,0.155,0.291,176.597,4
spotify:track:5CscrLqFBgPfZR8fGtikov,"making the bed","GUTS","Olivia Rodrigo",2023-09-08,198866,78,false,,1970-01-01T00:00:00Z,"","Olivia Rodrigo PS",0.55,0.409,7,-7.718,1,0.0316,0.386,0,0.122,0.252,133.099,4
spotify:track:7sqMAeagnyI0IJ1rtVYMRR,"Blau","Wiener Schickeria","BIBIZA",2023-06-02,172700,48,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,neue deutsche welle","Columbia/BIBIZA",0.904,0.816,2,-4.398,1,0.0845,0.00234,0.432,0.164,0.888,125.966,4
spotify:track:55cT6YeU7DCjdxieI7VOQF,"Bodo Wartke","Bürgerhaus","GbR",2024-06-07,141950,16,false,,1970-01-01T00:00:00Z,"neue deutsche welle,deutscher indie","recordJet",0.762,0.931,8,-6.976,1,0.0717,0.0841,0.127,0.123,0.967,136.033,4
spotify:track:7mzPAftljnsFmU6131Pqcd,"Tripping Over Air","Tripping Over Air","Aidan Bissett",2022-09-09,182382,59,true,,1970-01-01T00:00:00Z,"","Capitol Records",0.627,0.791,11,-4.912,1,0.0346,0.00182,0,0.3,0.523,116.994,4
spotify:track:53dtP2iUMvaF28JZcHnFuU,"logical","GUTS","Olivia Rodrigo",2023-09-08,231907,71,false,,1970-01-01T00:00:00Z,"","Olivia Rodrigo PS",0.48,0.24,7,-8.146,1,0.0323,0.844,0,0.099,0.152,80.686,4
spotify:track:293vHX2BLN69UGkFrnI0Hv,"Femme fatale","Wiener Schickeria","BIBIZA",2023-06-02,171379,44,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,neue deutsche welle","Columbia/BIBIZA",0.73,0.84,10,-3.474,0,0.0444,0.0279,0.000164,0.0623,0.829,122.532,4
