Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0FTmksd2dxiE5e3rWyJXs6,"back to friends","back to friends","sombr",2024-12-27,199032,92,false,,1970-01-01T00:00:00Z,"","Warner Records",0.436,0.723,1,-2.291,1,0.0301,0.0000937,0.0000882,0.0929,0.235,92.855,4
spotify:track:4H0ly29pj5g6vMKum5kkhu,"WHO'S THAT","WHO'S THAT","Ikkimel",2025-06-20,140009,70,true,,1970-01-01T00:00:00Z,"deutscher indie","Four Music Local",0.737,0.865,8,-6.228,1,0.201,0.0028,0.00538,0.378,0.849,156.094,4
spotify:track:05PosjtIvZysYhJEahkp8X,"Politschlampe","SLAYBAE","Mariybu",2023-03-10,63750,37,true,,1970-01-01T00:00:00Z,"hyperpop","365XX",0.824,0.839,4,-7.074,1,0.192,0.136,0.000209,0.121,0.784,139.898,4
spotify:track:4jiwz2tQZo21Z4NQwz4zUt,"southbound","southbound / test drive","Artemas",2025-03-19,137923,72,true,,1970-01-01T00:00:00Z,"","Artemas",0.574,0.916,7,-3.901,1,0.218,0.00468,0,0.569,0.567,97.479,4
spotify:track:2jNyiavSywmA472t2m6ZBz,"What Was That","What Was That","Lorde",2025-04-24,209286,30,false,,1970-01-01T00:00:00Z,"","Universal Music New Zealand Limited",0.44,0.615,0,-6.768,1,0.347,0.321,0.0000338,0.102,0.161,168.152,5
spotify:track:605G7F1FEjm60IdXmLhlNN,"Walzer","Pazifik","Provinz",2025-02-21,201325,70,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher pop","Warner Music Central Europe",0.392,0.487,6,-6.911,0,0.0363,0.444,0,0.0786,0.212,171.361,3
spotify:track:1o8QpucQOjzA41D7WKnBd4,"UNISEXKLO","UNISEXKLO","Ikkimel;Lucry & Suena",2024-11-01,126577,51,true,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher hip-hop","Four Music Local",0.893,0.929,11,-3.441,0,0.0971,0.00278,0.000338,0.059,0.612,124.022,4
spotify:track:3US25kietdl3inqgNatae4,"Gute Nacht","bis einer weint","BIBIZA",2024-11-22,315762,32,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,neue deutsche welle","Columbia/BIBIZA",0.565,0.482,2,-6.313,1,0.0359,0.447,0.000221,0.087,0.105,143.98,3
spotify:track:2LF0FwKo05vCvVjSEgAleK,"Keine Tränen","Keine Tränen","RAUM27",2025-02-07,229524,41,true,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher pop","Träumer & Helden",0.568,0.618,5,-8.924,1,0.0948,0.454,0.00000138,0.0779,0.223,139.921,4
spotify:track:0U2we0oGyCpQd4vYrRzSF9,"Du kriegst mich nicht zurück","Addio","Faber",2024-06-07,207880,50,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher pop","Vertigo Berlin",0.451,0.699,4,-7.654,0,0.1,0.346,0.0015,0.295,0.508,116.429,4
spotify:track:1m4juqM2fqfLfKMYKUJB0h,"ZOOM CALL","ZOOM CALL","Whitey en vogue;Ikkimel",2024-01-12,116500,54,false,,1970-01-01T00:00:00Z,"deutscher hip-hop,deutscher indie","Whitey en vogue",0.76,0.99,7,-6.949,1,0.12,0.0174,0.0373,0.119,0.871,156.498,4
spotify:track:6xLoWndBgNvlylHAWxiqxw,"Jiggy","Jiggy","Filow;Ikkimel;Lucry & Suena",2025-03-14,131214,63,true,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher hip-hop","1UP Management GmbH",0.797,0.656,11,-6.233,0,0.0459,0.0236,0.00000209,0.062,0.791,107.042,4
spotify:track:4hFt3Ht6b9OLsesqx51aq1,"superstar","superstar","Artemas",2025-10-01,169361,62,true,,1970-01-01T00:00:00Z,"","Artemas",0.609,0.907,5,-3.595,0,0.0505,0.000171,0.117,0.675,0.564,141.039,3
spotify:track:5at6m1L4BvhhYJzMPQHgyN,"test drive","southbound / test drive","Artemas",2025-03-19,188583,64,false,,1970-01-01T00:00:00Z,"","Artemas",0.538,0.819,1,-2.865,0,0.0595,0.338,0.0000068,0.327,0.083,104.268,4
spotify:track:6J5kc12BW5HuP3d7C3vvx8,"EoO","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,204768,88,true,,1970-01-01T00:00:00Z,"reggaeton,trap latino,urbano latino,latin","Rimas Entertainment LLC.",0.36,0.464,10,-29.598,0,0.0702,0.749,0.859,0.0825,0.184,63.662,4
spotify:track:5OUXZlgQSiMkUAzLVMRA2u,"LAUT & QUEER","ein tag göttin","Mariybu;REEZA",2025-02-14,131600,34,true,,1970-01-01T00:00:00Z,"hyperpop,deutscher indie","TangaTunes",0.525,0.927,7,-6.562,0,0.389,0.00659,0.00000136,0.19,0.53,76.018,4
spotify:track:4Vwb4A41SoZWdTRL7Jojus,"IDGAF","IDGAF","Ikkimel",2025-09-05,138580,67,true,,1970-01-01T00:00:00Z,"deutscher indie","Four Music Local",0.797,0.895,9,-5.305,1,0.202,0.0265,0.00000193,0.0662,0.889,155.098,4
spotify:track:7bkUa9kDFGxgCC7d36dzFI,"Rote Flaggen","ROTE FLAGGEN","Berq",2023-05-25,224591,70,true,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher pop","Urban",0.359,0.336,1,-12.895,0,0.0422,0.773,0,0.184,0.109,109.94,3
spotify:track:1zq3gomMLg5foDJxK91NFQ,"Bounce!","Bounce!","CARAMELLA;YDRA",2025-07-04,175160,23,false,,1970-01-01T00:00:00Z,"","recordJet",0.9,0.582,2,-8.209,1,0.0988,0.0551,0.0000305,0.0485,0.517,129.974,4
spotify:track:4AajxCEwGEsmHmT4H1TwjY,"undressed","undressed","sombr",2025-03-21,182088,84,false,,1970-01-01T00:00:00Z,"","Warner Records",0.642,0.887,0,-3.883,1,0.0406,0.137,0,0.0829,0.888,115.999,4
