Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4vzJrkfHbCGaodPA5RY5BV,"Loading","Wild West","Central Cee",2021-03-12,173333,68,true,,1970-01-01T00:00:00Z,"uk drill,drill,uk grime","Central Cee",0.85,0.68,3,-6.18,0,0.338,0.732,0,0.0964,0.694,144.006,1
spotify:track:0H9WHopZ62JeDaGau7REMw,"Shababs botten","Shababs botten","Pashanim",2019-09-06,96030,59,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Urban",0.88,0.399,6,-8.849,0,0.464,0.102,0.000233,0.127,0.387,46.66,3
spotify:track:3LtpKP5abr2qqjunvjlX5i,"Doja","Doja","Central Cee",2022-07-21,97392,78,true,,1970-01-01T00:00:00Z,"uk drill,drill,uk grime","Central Cee",0.911,0.573,6,-7.43,1,0.288,0.38,0,0.403,0.972,140.04,4
spotify:track:5wwPdWKbDEiybmWkZqsGGn,"Next Up - S4-E2, Pt. 1","Next Up - S4-E2","JBEE;Mixtape Madness",2022-02-09,120839,28,true,,1970-01-01T00:00:00Z,"uk drill,drill,grime,uk grime","Mixtape Madness",0.645,0.571,8,-8.954,0,0.293,0.168,0,0.21,0.386,142.986,4
spotify:track:7sJNeWTXkZCEC7OnFMpGWL,"Bamba (feat. Aitch & BIA)","Majestic","Luciano;Aitch;BIA",2022-09-29,203560,66,true,,1970-01-01T00:00:00Z,"deutscher hip-hop,grime,uk grime,uk drill,drill","URBAN",0.795,0.785,10,-6.264,1,0.331,0.121,0,0.115,0.791,138.057,4
spotify:track:35DkXhxqTMiQB582tfjowU,"Powerade","In Liebe, Ion","Ion Miles;SIRA;BHZ",2022-06-24,142400,1,true,,1970-01-01T00:00:00Z,"deutscher hip-hop,deutscher indie","Sony Music/BHZ",0.89,0.72,6,-5.202,0,0.0729,0.193,0.437,0.641,0.935,150.09,4
spotify:track:4oxGI8yyghLuMV7ybRG3kg,"Obsessed With You","23","Central Cee",2022-02-25,108650,67,true,,1970-01-01T00:00:00Z,"uk drill,drill,uk grime","Central Cee",0.746,0.825,3,-4.457,1,0.0435,0.192,0,0.365,0.904,143.062,4
spotify:track:6ROFzwu3tbB6mxpW9Gt1YU,"Oliver Twist","Pier Pressure","ArrDee",2022-03-18,174857,56,true,,1970-01-01T00:00:00Z,"uk drill,drill,grime,uk grime","Universal-Island Records Ltd.",0.725,0.807,11,-4.332,1,0.315,0.352,0,0.462,0.848,140.045,4
spotify:track:2TcWjEXtpzziW28yOEiUPJ,"PEPPERMINT","AQUA","Luciano",2021-07-01,197426,52,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","URBAN",0.899,0.531,2,-9.048,0,0.447,0.0246,0,0.0946,0.242,132.031,4
spotify:track:6A3SB2C4U6JtCavQOXLYNN,"Je M'appelle","Je M'appelle","Benzz",2022-04-21,139574,65,true,,1970-01-01T00:00:00Z,"uk drill,drill","Universal-Island Records Ltd.",0.807,0.75,11,-4.396,1,0.237,0.17,0,0.164,0.961,141.176,4
spotify:track:2H7jZg2HliuQhZjfBblLrZ,"Sommergewitter","Sommergewitter","Pashanim",2021-06-24,138533,69,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","Urban",0.787,0.531,11,-10.569,0,0.101,0.132,0.00094,0.112,0.721,91.996,4
spotify:track:0Bdp2yHwTggUh5zJSGh2dx,"Hello Mate","Pier Pressure","ArrDee;Kyla",2022-03-18,192857,49,true,,1970-01-01T00:00:00Z,"uk drill,drill,grime,uk grime,uk funky","Universal-Island Records Ltd.",0.713,0.886,10,-4.451,0,0.271,0.0746,0,0.215,0.747,140.054,4
spotify:track:1Fb8gCHRkmNAaN8vytd5vg,"West Connect (feat. Central Cee)","Majestic","Luciano;Central Cee",2022-09-29,212114,57,true,,1970-01-01T00:00:00Z,"deutscher hip-hop,uk drill,drill,uk grime","URBAN",0.918,0.593,7,-7.132,0,0.463,0.0698,0.00000154,0.0926,0.472,139.981,4
spotify:track:4BOZst1a8mfanfRSfdRzi9,"Alors Alors","Alors Alors","Benzz",2022-12-08,132765,55,true,,1970-01-01T00:00:00Z,"uk drill,drill","Universal-Island Records Ltd.",0.753,0.806,0,-6.077,0,0.296,0.093,0,0.337,0.945,141.046,4
spotify:track:6fuO9uk9wbjCHvQJqk2Qpx,"paris freestyle - skrilla remix","paris freestyle (skrilla remix)","Pashanim;skrilla",2021-10-25,105982,62,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","Urban",0.745,0.506,9,-6.919,1,0.128,0.0135,0.0937,0.167,0.325,145.041,4
spotify:track:4LQHifVotiRkOTiKGqbY2x,"MADEINHELL, PT. 1","PSYCHX","Kordhell;Scarlxrd",2022-10-28,150857,42,true,,1970-01-01T00:00:00Z,"phonk,drift phonk,trap metal,rap metal,horrorcore,emo rap","Kordhell x Scarlxrd",0.644,0.971,8,-0.942,1,0.247,0.00166,0,0.462,0.781,139.876,4
spotify:track:52BoEcA1JE2Q4cosNsb5gy,"Mios mit Bars","EXOT","Luciano",2020-07-23,232666,48,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","Urban",0.689,0.63,9,-7.405,0,0.0472,0.104,0.0998,0.229,0.396,144.967,4
spotify:track:3DQRe4gHJOY4ufHBZr2jUF,"Wid It","Green With Envy","Tion Wayne;ArrDee",2021-09-17,181058,53,true,,1970-01-01T00:00:00Z,"uk drill,drill,grime,uk grime,afroswing","Atlantic Records UK",0.768,0.72,11,-6.528,0,0.23,0.139,0,0.201,0.49,140.024,4
spotify:track:0y8lwLPXBsenbF5WAZhlbL,"Kleiner Prinz","Kleiner Prinz","Pashanim",2022-07-07,147560,61,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","Urban",0.879,0.611,0,-7.057,0,0.272,0.114,0.00000847,0.224,0.589,95.01,4
spotify:track:7sxU4TXDjhi9BIdX7UnWNJ,"THIS IS MY LIFE","PSYCHX","Kordhell;Scarlxrd",2022-10-28,127058,35,true,,1970-01-01T00:00:00Z,"phonk,drift phonk,trap metal,rap metal,horrorcore,emo rap","Kordhell x Scarlxrd",0.48,0.924,10,-0.528,0,0.0699,0.00276,0.0139,0.346,0.414,170.061,4
spotify:track:4VINQO7QzZt4F45RWfz6aK,"10von10 - Remix","Seelenfrieden","Pajel;Luciano;Headie One",2022-02-18,191320,40,true,,1970-01-01T00:00:00Z,"deutscher hip-hop,uk drill,grime,drill,uk grime","Epic/DOPE",0.81,0.541,0,-7.666,0,0.436,0.16,0,0.134,0.644,139.843,4
spotify:track:3F5CgOj3wFlRv51JsHbxhe,"Jimmy Cooks (feat. 21 Savage)","Honestly, Nevermind","Drake;21 Savage",2022-06-17,218364,81,true,,1970-01-01T00:00:00Z,"rap","OVO",0.529,0.673,0,-4.711,1,0.175,0.000307,0.00000241,0.093,0.366,165.921,4
spotify:track:6D60SSnCQ00TdAQTOPCNGg,"Cripwalks (with Pashanim & Monk)","Cripwalks (with Pashanim & Monk)","BHZ",2020-01-20,136489,50,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","BHZ",0.947,0.461,8,-10.683,1,0.45,0.221,0,0.136,0.538,129.968,4
spotify:track:4m5T7OhG54iKZcKle6LXSD,"GXING THE DISTANCE","IMMXRTALISATIXN","Scarlxrd",2019-10-04,145635,25,true,,1970-01-01T00:00:00Z,"trap metal,rap metal,horrorcore,emo rap","Universal-Island Records Ltd.",0.65,0.824,0,-3.969,1,0.104,0.0281,0.00148,0.575,0.251,140.082,3
spotify:track:1e9QSdX5uLUw6vbrkZJyXi,"Fendi Drip","MILLIES","Luciano;Ufo361;Lil Baby",2019-08-29,220880,55,false,,1970-01-01T00:00:00Z,"deutscher hip-hop,türkischer hip-hop","Urban",0.827,0.646,11,-6.122,1,0.505,0.0827,0,0.123,0.711,168.025,4
spotify:track:31I8h26dbVs8TDPQt4HmjU,"LAND OF FIRE","A MILLION WAYS TO MURDER","Kordhell",2023-10-27,153600,56,true,,1970-01-01T00:00:00Z,"phonk,drift phonk","Kordhell",0.686,0.952,4,-2.524,0,0.0529,0.00545,0.00713,0.111,0.269,149.968,4
spotify:track:7afBX5p6Qw5RPfpedhEMWS,"4am","4am","JBEE",2021-10-01,193714,65,true,,1970-01-01T00:00:00Z,"uk drill,drill","10K Projects",0.863,0.482,1,-9.132,1,0.439,0.621,0,0.148,0.618,140.021,4
spotify:track:7Cq27Qc3WRyQ3ddwVslpVZ,"Heart Attack","Chaxsthexry","Scarlxrd",2017-04-01,193567,55,true,,1970-01-01T00:00:00Z,"trap metal,rap metal,horrorcore,emo rap","lxrd records",0.584,0.895,11,-3.663,0,0.134,0.0501,0.00408,0.32,0.175,119.91,4
spotify:track:1eNyHqFFfC3NrRmXQCn83K,"Nacht zu kurz","EXOT","Luciano",2020-07-23,245306,41,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","Urban",0.771,0.391,7,-10.546,0,0.309,0.0827,0.0000978,0.0804,0.26,140.961,4
spotify:track:6tgfPk01WoB2cK78rDEq2m,"Don’t Lie (feat. Nemzzz)","Don’t Lie (feat. Nemzzz)","A1 x J1;Nemzzz",2022-10-13,138591,52,true,,1970-01-01T00:00:00Z,"uk drill,drill","EMI",0.744,0.748,7,-5.368,1,0.252,0.181,0,0.463,0.964,142.02,4
spotify:track:6pe4kkc27IKSkubhLY7a5C,"24's","24's","JBEE",2022-08-18,166027,16,true,,1970-01-01T00:00:00Z,"uk drill,drill","JBee",0.54,0.538,7,-10.838,0,0.389,0.329,0,0.106,0.607,97.542,5
spotify:track:2D0nHpEE4mKXpGw7SRGTPm,"MISS ME?","PSYCHX","Kordhell;Scarlxrd",2022-10-28,133548,53,true,,1970-01-01T00:00:00Z,"phonk,drift phonk,trap metal,rap metal,horrorcore,emo rap","Kordhell x Scarlxrd",0.682,0.925,0,-1.181,0,0.05,0.00313,0.0119,0.437,0.506,124.076,4
spotify:track:1ftln1emQR93Oyw0pJqN2i,"2CB","Zukunft 1 & 2","RAF Camora;Luciano",2021-10-01,172288,59,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Indipendenza",0.82,0.725,10,-6.449,0,0.208,0.456,0.457,0.114,0.364,125.049,4
spotify:track:1o6x7iRcDQPEEg8YPgLeVA,"Day in the Life","Wild West","Central Cee",2021-03-12,188689,65,true,,1970-01-01T00:00:00Z,"uk drill,drill,uk grime","Central Cee",0.905,0.571,2,-7.979,1,0.357,0.228,0,0.113,0.757,144.892,4
spotify:track:4zQfJWDumqTIKtpLE9MIuY,"S02E14 (La curly & Slim dvo)","S02E14 (La curly & Slim dvo)","Stu Sesh;La curly;Slim dvo",2022-04-07,145668,17,true,,1970-01-01T00:00:00Z,"drill,deutscher hip-hop","Miloo Pictures",0.82,0.765,9,-5.895,1,0.281,0.068,0.0004,0.39,0.448,144.967,4
spotify:track:6MK4FbbYR71obIQQHMxKXs,"I FEEL ALIVE","PSYCHX","Kordhell;Scarlxrd",2022-10-28,122542,55,true,,1970-01-01T00:00:00Z,"phonk,drift phonk,trap metal,rap metal,horrorcore,emo rap","Kordhell x Scarlxrd",0.613,0.944,10,-0.142,0,0.0428,0.0000827,0.00425,0.325,0.497,118.069,4
spotify:track:7hFw40Ta4n5wwD1Xzdscb5,"Frozen Tears","Majestic","Luciano",2022-09-29,208173,46,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","URBAN",0.791,0.564,10,-10.272,0,0.103,0.141,0.00104,0.102,0.232,110.984,3
spotify:track:4tRhRLBxIZ34Iw0eCuiC03,"Miss You","Miss You","southstar",2022-07-30,206019,64,true,,1970-01-01T00:00:00Z,"hypertechno","Columbia/B1 Recordings",0.682,0.685,6,-8.242,0,0.0374,0.0353,0.147,0.261,0.283,145.009,4
spotify:track:3CVb6hkMrlF7eHhXi5B3PZ,"Body","Body","Russ Millions;Tion Wayne",2021-03-25,183829,59,true,,1970-01-01T00:00:00Z,"uk drill,drill,grime,uk grime,afroswing","Atlantic Records UK",0.889,0.705,11,-8.683,0,0.392,0.389,0.0000104,0.0692,0.815,141.069,4
spotify:track:5HeJByGM7j6zu77LnD6VqV,"War","Pier Pressure","ArrDee;Aitch",2022-03-18,166871,49,true,,1970-01-01T00:00:00Z,"uk drill,drill,grime,uk grime","Universal-Island Records Ltd.",0.754,0.794,2,-5.638,1,0.198,0.0563,0,0.114,0.853,142.099,4
spotify:track:3gY4hCcVELKWSlwc8DLUNL,"BEASTMXDE","IMMXRTALISATIXN","Scarlxrd",2019-10-04,151529,29,true,,1970-01-01T00:00:00Z,"trap metal,rap metal,horrorcore,emo rap","Universal-Island Records Ltd.",0.674,0.86,7,-2.643,0,0.201,0.211,0.00000738,0.0997,0.432,164.94,4
spotify:track:1Up7k1Bq6CSKPJoSkq05i7,"Maison","EXOT","Luciano",2020-07-23,194066,46,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","Urban",0.924,0.45,1,-8.512,1,0.282,0.0103,0.00000111,0.0659,0.626,142.941,4
spotify:track:2kx5sQgmjYug0GiDh1a4sU,"Living Life, In The Night","Living Life, In The Night","Cheriimoya;Sierra Kidd",2018-10-13,122517,69,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Arista Records",0.624,0.499,0,-9.962,0,0.0495,0.82,0,0.12,0.298,143.249,4
spotify:track:3Kim4tV3HTnpaELmIh56lI,"Talking Stage","Talking Stage","JBEE",2022-03-31,177464,0,true,,1970-01-01T00:00:00Z,"uk drill,drill","JBee",0.838,0.454,11,-10.074,0,0.35,0.734,0,0.102,0.76,142.114,4
spotify:track:6B8HOQWb6UF4vJkOaL2tpi,"KILLING THE SURFACE","PSYCHX","Kordhell;Scarlxrd",2022-10-28,158400,45,true,,1970-01-01T00:00:00Z,"phonk,drift phonk,trap metal,rap metal,horrorcore,emo rap","Kordhell x Scarlxrd",0.381,0.978,11,-0.338,0,0.0533,0.000487,0.000023,0.452,0.198,200.049,4
spotify:track:7zjO4Hy7TjwyGTJmOwaYJs,"Come Thru (feat. Shady Moon & Ciscaux)","Come Thru (feat. Shady Moon & Ciscaux)","1nonly;Shady Moon;Ciscaux",2021-12-17,148615,53,true,,1970-01-01T00:00:00Z,"phonk","NSF Productions LLC",0.839,0.611,6,-8.748,1,0.279,0.0737,0.000013,0.0922,0.646,129.978,4
spotify:track:2jjsIpj4OG68TpojNlZcE6,"Flowers (Say My Name)","Pier Pressure","ArrDee",2022-03-18,158601,56,true,,1970-01-01T00:00:00Z,"uk drill,drill,grime,uk grime","Universal-Island Records Ltd.",0.723,0.713,2,-6.879,0,0.241,0.495,0,0.513,0.803,143.052,4
spotify:track:3D46l95LQ8iND0qzPHoxEf,"Heart On Ice","HBK","JBEE",2023-07-28,145306,47,false,,1970-01-01T00:00:00Z,"uk drill,drill","JBee",0.691,0.657,9,-8.835,0,0.274,0.576,0,0.0999,0.876,147.16,4
spotify:track:5WNBGRcXWeoXrXJHrQqodi,"I'M THE DEVIL","PSYCHX","Kordhell;Scarlxrd",2022-10-28,120000,50,true,,1970-01-01T00:00:00Z,"phonk,drift phonk,trap metal,rap metal,horrorcore,emo rap","Kordhell x Scarlxrd",0.597,0.969,1,-0.76,1,0.0378,0.000083,0.0086,0.202,0.671,123.029,4
