Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3mzcYCVRgYa5vHXqG7qB52,"Chainsaw Man","Chainsaw Man","Yungmon;Lyran Dasz",2023-12-08,165394,38,true,,1970-01-01T00:00:00Z,"cloud rap,deutscher indie pop","ULTRA RARE",0.695,0.774,4,-5.5,1,0.0828,0.0113,0.00000975,0.0688,0.571,76.029,4
spotify:track:4pswrTea0U8BCQjpfENxf2,"FULL MOON","COLDBLOODED-BONECRUSHER","TJ_beastboy;Yungmon",2024-03-08,174500,44,true,,1970-01-01T00:00:00Z,"deutscher hip-hop,cloud rap","Space Music Records",0.757,0.719,0,-5.5,1,0.0518,0.143,0,0.1,0.319,106.641,5
spotify:track:5QllDVWTd3lOLcceZsekwX,"1994","1994","RIN;oddworld",2024-09-19,105331,55,false,,1970-01-01T00:00:00Z,"deutscher hip-hop,deutscher indie","GOLD LEAGUE/DIVISION",0.781,0.731,0,-5.972,1,0.0882,0.0366,0.000953,0.114,0.672,166.148,4
spotify:track:6Ixn21VEhC20fPcy2CDuIy,"DONNiE DARKO","COLDBLOODED-BONECRUSHER","TJ_beastboy;Kynda Gray",2024-03-08,176500,43,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Space Music Records",0.782,0.771,11,-5.637,0,0.0579,0.111,0.000548,0.0844,0.446,130.024,4
spotify:track:1swvWqnyHP63Y4r1qX2kVS,"EXTREME DiNOSAURS","COLDBLOODED-BONECRUSHER","TJ_beastboy",2024-03-08,110500,41,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","Space Music Records",0.714,0.731,7,-4.52,1,0.122,0.214,0,0.402,0.638,139.991,4
spotify:track:4kjI1gwQZRKNDkw1nI475M,"MY EYES","UTOPIA","Travis Scott",2023-07-28,251249,81,true,,1970-01-01T00:00:00Z,"rap","Cactus Jack/Epic",0.455,0.621,0,-7.694,0,0.0517,0.651,0.00000259,0.123,0.28,119.043,4
spotify:track:3t8kj9fF6jWk8dIfaoOho9,"Adrenalin","Heartmon","Yungmon",2022-02-25,138963,35,true,,1970-01-01T00:00:00Z,"cloud rap","ULTRA RARE",0.67,0.619,2,-10.052,0,0.029,0.000566,0.00000992,0.365,0.348,126.028,4
spotify:track:24sBckL7mZfqD2g5e2Nc9Q,"appetite","appetite","STIM",2024-04-17,158117,59,false,,1970-01-01T00:00:00Z,"hyperpop","STIM Pop Music",0.427,0.916,10,-6.723,0,0.274,0.215,0,0.457,0.723,170.174,3
spotify:track:2242plslNyFhozX2i6kBT9,"iTO iTO NO Mi","COLDBLOODED-BONECRUSHER","TJ_beastboy",2024-03-08,160000,39,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Space Music Records",0.748,0.766,5,-6.321,0,0.151,0.0123,0.00000402,0.125,0.518,144.995,4
spotify:track:1Syhm4vkn6n2DYuFnyI60s,"Scheiß auf eure Party","Ich bin 2 Berliner","Ufo361",2016-09-30,220327,64,true,,1970-01-01T00:00:00Z,"deutscher hip-hop,türkischer hip-hop","Ufo361",0.745,0.551,6,-9.058,0,0.235,0.05,0,0.105,0.15,122.011,4
spotify:track:40iJIUlhi6renaREYGeIDS,"Fair Trade (with Travis Scott)","Certified Lover Boy","Drake;Travis Scott",2021-09-03,291175,81,true,,1970-01-01T00:00:00Z,"rap","OVO",0.666,0.465,1,-8.545,1,0.26,0.0503,0,0.215,0.292,167.937,4
spotify:track:1udwFobQ1JoOdWPQrp2b6u,"Surround Sound (feat. 21 Savage & Baby Tate)","The Forever Story (Extended Version)","JID;21 Savage;Baby Tate",2022-10-31,229938,78,true,,1970-01-01T00:00:00Z,"","Dreamville/Interscope",0.574,0.567,7,-7.126,0,0.465,0.164,0,0.258,0.526,75.965,4
spotify:track:4QUFwL6J0InUCQA1Fu2Js7,"CAP DOWN","HIJACKED-LOWRIDER","TJ_beastboy",2024-07-12,194000,42,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Space Music Records",0.688,0.822,4,-6.953,1,0.0445,0.084,0.000111,0.0977,0.755,127.983,4
spotify:track:3COVhNcQ71ZyAxHyM1xiK4,"DEADBEAT - demo","DEADBEAT (demo)","WesGhost",2023-12-22,145714,43,false,,1970-01-01T00:00:00Z,"","Columbia",0.514,0.862,4,-4.508,1,0.0947,0.000617,0.0000509,0.332,0.682,139.935,4
spotify:track:6TQxIK8op30n291y53sTZH,"fury","fury","STIM;RJ Pasin",2024-01-15,183529,59,false,,1970-01-01T00:00:00Z,"hyperpop,phonk","broke",0.499,0.724,2,-9.881,1,0.0594,0.0913,0,0.522,0.618,170.189,4
spotify:track:2IRZnDFmlqMuOrYOLnZZyc,"Going Bad (feat. Drake)","Championships","Meek Mill;Drake",2018-11-30,180522,74,true,,1970-01-01T00:00:00Z,"rap","MMG/Atlantic",0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,4
spotify:track:3ca0qKjgRKV2b6Sy5Fd75b,"KiNG K0NG","HIJACKED-LOWRIDER","TJ_beastboy;John on a Mission",2024-07-12,161000,45,true,,1970-01-01T00:00:00Z,"deutscher hip-hop,space music,cloud rap","Space Music Records",0.768,0.906,1,-4.449,1,0.19,0.0373,0,0.298,0.583,154.992,4
spotify:track:5u6vkDnOyaf8LsteDAj2ub,"Ghostface Killers (feat. Travis Scott)","Without Warning","21 Savage;Offset;Metro Boomin;Travis Scott",2017-10-30,268933,67,true,,1970-01-01T00:00:00Z,"rap","Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",0.782,0.435,2,-7.033,1,0.156,0.333,0.0000131,0.342,0.242,82.996,4
spotify:track:1VgoFzUT9iofLfn3rHOI3z,"IN & OUT","IN & OUT","reezy",2024-01-12,148433,56,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Four Music/TEENAGER FOREVER Ent.",0.573,0.563,11,-8.061,0,0.12,0.342,0,0.123,0.575,133.716,4
spotify:track:2vsFAkp6P14vOjvmLdnBkb,"We Fell Apart - Slowed","We Fell Apart","ANGUISH;AmbVsh;ily",2023-07-25,157419,69,true,,1970-01-01T00:00:00Z,"hardstyle,frenchcore","RECORDS",0.644,0.944,3,-1.765,0,0.0372,0.0141,0.000304,0.626,0.352,95.004,4
spotify:track:721E4UTMCmMDfwBnq0PaVN,"UH YEAH [WAHNSiNN 01]","WAHNSiNN²","TJ_beastboy",2023-10-27,181500,44,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Space Music Records",0.68,0.903,11,-4.328,0,0.0864,0.000859,0.00000199,0.146,0.396,169.993,4
spotify:track:6TdFkofgTvN0WfnWFmh4a6,"née-nah","née-nah","21 Savage;Travis Scott;Metro Boomin",2024-01-10,220584,59,true,,1970-01-01T00:00:00Z,"rap","Slaughter Gang, LLC/Epic Records",0.678,0.758,1,-6.524,1,0.227,0.00495,0,0.57,0.318,165.423,4
spotify:track:4daEMLSZCgZ2Mt7gNm2SRa,"Flooded The Face","Pink Tape","Lil Uzi Vert",2023-06-30,192727,66,true,,1970-01-01T00:00:00Z,"melodic rap","Generation Now/Atlantic",0.64,0.609,1,-7.714,0,0.304,0.492,0.00000247,0.152,0.393,131.889,4
spotify:track:792HwhrdO3ErRKL5yRe4Ge,"Invincible","Meet The Woo 2","Pop Smoke",2020-02-07,127546,73,true,,1970-01-01T00:00:00Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide",0.548,0.732,11,-5.652,0,0.336,0.125,0,0.269,0.612,142.791,4
spotify:track:4VFePVCYFzxUouQZNWMhH2,"PSYCHO [WAHNSiNN 02]","WAHNSiNN²","TJ_beastboy",2023-10-27,197000,46,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Space Music Records",0.568,0.926,1,-5.599,1,0.12,0.0367,0,0.338,0.467,165.913,4
spotify:track:6pcywuOeGGWeOQzdUyti6k,"Glock In My Lap","SAVAGE MODE II","21 Savage;Metro Boomin",2020-10-02,193591,76,true,,1970-01-01T00:00:00Z,"","Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",0.847,0.733,10,-6.439,0,0.16,0.00574,0.0000104,0.151,0.202,130.029,4
spotify:track:42VsgItocQwOQC3XWZ8JNA,"FE!N (feat. Playboi Carti)","UTOPIA","Travis Scott;Playboi Carti",2023-07-28,191700,84,true,,1970-01-01T00:00:00Z,"rap,rage rap","Cactus Jack/Epic",0.569,0.882,3,-2.777,0,0.06,0.0316,0,0.142,0.201,148.038,4
spotify:track:4EmzSqaqpv663TP3VvqCa9,"Knock Knock","Knock Knock","Tion Wayne;M24",2022-02-17,180197,51,true,,1970-01-01T00:00:00Z,"uk drill,drill,grime,uk grime,afroswing","Atlantic Records UK",0.811,0.539,1,-8.559,1,0.37,0.593,0.0000466,0.116,0.796,140.035,4
spotify:track:5JWsW8aJoBc4z0TN2TN4rC,"1000x COOLER RMX","HIJACKED-LOWRIDER","TJ_beastboy",2024-07-12,127000,39,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Space Music Records",0.723,0.706,2,-6.193,1,0.0583,0.0224,0.0000614,0.194,0.654,130.084,4
spotify:track:3F5CgOj3wFlRv51JsHbxhe,"Jimmy Cooks (feat. 21 Savage)","Honestly, Nevermind","Drake;21 Savage",2022-06-17,218364,81,true,,1970-01-01T00:00:00Z,"rap","OVO",0.529,0.673,0,-4.711,1,0.175,0.000307,0.00000241,0.093,0.366,165.921,4
spotify:track:69phA1R4gmQsBFRQ3INW8C,"ONE CALL","Ghetto Fabulous","Rich Amiri",2023-11-17,121399,73,true,,1970-01-01T00:00:00Z,"rage rap","Internet Money Records / 10K Projects",0.65,0.539,1,-7.281,1,0.0561,0.00617,0.0000267,0.114,0.253,158.105,4
spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,"Without Me","The Eminem Show","Eminem",2002-05-26,290320,88,true,,1970-01-01T00:00:00Z,"rap,hip-hop","Eminem Catalog PS",0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,4
spotify:track:2H7jZg2HliuQhZjfBblLrZ,"Sommergewitter","Sommergewitter","Pashanim",2021-06-24,138533,69,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","Urban",0.787,0.531,11,-10.569,0,0.101,0.132,0.00094,0.112,0.721,91.996,4
spotify:track:0O9WkgPDfZ7A9DMDocF6ur,"MELTDOWN (feat. Drake)","MELTDOWN (feat. Drake)","Travis Scott;Drake",2023-07-27,246133,45,true,,1970-01-01T00:00:00Z,"rap","Cactus Jack/Epic",0.557,0.774,7,-5.275,0,0.351,0.012,0,0.396,0.397,111.975,4
spotify:track:7BfRyF3eUgZxXBmt01PBZY,"ATZENMODUS","HALB:VIER DELUXE","BHZ;Ion Miles;Monk;Dead Dawg;Big Pat;Longus Mongus",2021-07-16,261626,59,true,,1970-01-01T00:00:00Z,"deutscher hip-hop,deutscher indie","BHZ",0.841,0.551,8,-8.42,1,0.437,0.36,0,0.122,0.482,139.998,4
spotify:track:52BoEcA1JE2Q4cosNsb5gy,"Mios mit Bars","EXOT","Luciano",2020-07-23,232666,48,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","Urban",0.689,0.63,9,-7.405,0,0.0472,0.104,0.0998,0.229,0.396,144.967,4
spotify:track:6Pk9SrYcNROzVANFESonWh,"Doppel G","Himmel über Berlin","Pashanim",2022-09-28,123146,66,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","Urban",0.715,0.669,5,-8.195,0,0.0615,0.492,0.000593,0.134,0.888,154.876,4
spotify:track:1bDbXMyjaUIooNwFE9wn0N,"Rich Flex","Her Loss","Drake;21 Savage",2022-11-04,239359,76,true,,1970-01-01T00:00:00Z,"rap","OVO / Republic Records",0.549,0.518,4,-9.39,0,0.257,0.0517,0.00000121,0.378,0.418,160.07,4
spotify:track:35DkXhxqTMiQB582tfjowU,"Powerade","In Liebe, Ion","Ion Miles;SIRA;BHZ",2022-06-24,142400,1,true,,1970-01-01T00:00:00Z,"deutscher hip-hop,deutscher indie","Sony Music/BHZ",0.89,0.72,6,-5.202,0,0.0729,0.193,0.437,0.641,0.935,150.09,4
spotify:track:5yVhcpTvQYr4LooQ0dt4l4,"MANCHESTER","LOYALTY OVER LOVE","reezy",2022-04-29,132454,63,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Four Music/Two Sides",0.809,0.738,9,-7.463,0,0.0609,0.211,0.0000125,0.663,0.62,120.071,4
spotify:track:0H9WHopZ62JeDaGau7REMw,"Shababs botten","Shababs botten","Pashanim",2019-09-06,96030,59,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Urban",0.88,0.399,6,-8.849,0,0.464,0.102,0.000233,0.127,0.387,46.66,3
spotify:track:0Bdp2yHwTggUh5zJSGh2dx,"Hello Mate","Pier Pressure","ArrDee;Kyla",2022-03-18,192857,49,true,,1970-01-01T00:00:00Z,"uk drill,drill,grime,uk grime,uk funky","Universal-Island Records Ltd.",0.713,0.886,10,-4.451,0,0.271,0.0746,0,0.215,0.747,140.054,4
spotify:track:2zcujbHsQVDmsZi8I6Q0LP,"EMPTY THE CLiP","MATHEMATIC-RAPADDICT","TJ_beastboy",2023-05-12,178746,41,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","Space Music Records",0.659,0.627,11,-8.081,0,0.0473,0.0784,0.0000089,0.118,0.412,163.924,4
spotify:track:4lZ7OpzFPYJIWVgfuWU0zv,"Dies & Das","Altbau","01099;Gustav;Zachi",2022-03-25,140466,58,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher hip-hop,deutscher pop","Bamboo Artists",0.743,0.481,11,-8.317,0,0.0511,0.658,0.0153,0.0908,0.598,128.926,4
spotify:track:0y8lwLPXBsenbF5WAZhlbL,"Kleiner Prinz","Kleiner Prinz","Pashanim",2022-07-07,147560,61,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","Urban",0.879,0.611,0,-7.057,0,0.272,0.114,0.00000847,0.224,0.589,95.01,4
spotify:track:7aRCf5cLOFN1U7kvtChY1G,"Search & Rescue","Search & Rescue","Drake",2023-04-07,272112,73,true,,1970-01-01T00:00:00Z,"rap","OVO/Republic Records",0.828,0.441,10,-8.562,0,0.0685,0.0757,0.00000868,0.295,0.533,140.009,4
spotify:track:2R5kWKlRKal6lZOkdQxUSc,"SAGROTAN (feat. reezy)","T.O.T.Y.","KALIM;reezy",2021-10-28,130746,57,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","Urban",0.79,0.746,11,-7.001,0,0.0554,0.132,0.00125,0.248,0.342,133.978,4
spotify:track:2QAsTQ1tydZ6mhYH2FyzfG,"Durstlöscher","Durstlöscher","01099;Gustav;Zachi",2021-05-14,161440,61,false,,1970-01-01T00:00:00Z,"deutscher indie,deutscher indie pop,deutscher hip-hop,deutscher pop","Bamboo Artists",0.883,0.467,1,-11.06,0,0.206,0.561,0.0000276,0.102,0.27,134.037,4
spotify:track:5QVOfXj8466NDNQRAqfWaA,"Bagchaser Can","Bagchaser Can","Pashanim",2023-05-24,129412,65,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","Urban",0.793,0.669,0,-8.474,1,0.0481,0.237,0.02,0.142,0.102,104.989,4
spotify:track:2cEklOsQ4yr4SgtXZtHwvN,"Mami (feat. BIA)","Mami (feat. BIA)","Luciano;BIA",2023-08-10,178398,0,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","URBAN",0.748,0.636,1,-6.106,1,0.262,0.0137,0.00011,0.158,0.297,141.929,4
spotify:track:0kQkXgcAutpYt6OifSJFWK,"DOCTOR","MR. MISUNDERSTOOD","reezy",2023-05-12,134698,55,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Four Music/TEENAGER FOREVER Ent.",0.763,0.699,4,-6.829,0,0.0556,0.272,0,0.284,0.599,87.507,4
spotify:track:79s5XnCN4TJKTVMSmOx8Ep,"Dior","Meet The Woo","Pop Smoke",2019-07-26,216386,77,true,,1970-01-01T00:00:00Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide/Republic Records",0.548,0.805,7,-5.732,1,0.351,0.212,0.000405,0.408,0.649,142.096,4
spotify:track:7afBX5p6Qw5RPfpedhEMWS,"4am","4am","JBEE",2021-10-01,193714,65,true,,1970-01-01T00:00:00Z,"uk drill,drill","10K Projects",0.863,0.482,1,-9.132,1,0.439,0.621,0,0.148,0.618,140.021,4
spotify:track:4yNNFapUZM7aTElXE2JveQ,"Frozen Tears","Frozen Tears","Luciano",2022-07-28,208282,46,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","URBAN",0.794,0.561,10,-10.003,0,0.108,0.128,0.000117,0.104,0.231,110.79,3
spotify:track:6D60SSnCQ00TdAQTOPCNGg,"Cripwalks (with Pashanim & Monk)","Cripwalks (with Pashanim & Monk)","BHZ",2020-01-20,136489,50,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","BHZ",0.947,0.461,8,-10.683,1,0.45,0.221,0,0.136,0.538,129.968,4
spotify:track:4VQO1UdVIecQqB49PlANHz,"It's Up (feat. Young Thug & 21 Savage)","100 GIGS","Drake;Young Thug;21 Savage",2024-08-10,278000,3,true,,1970-01-01T00:00:00Z,"rap,melodic rap,trap","OVO/Republic",0.782,0.719,1,-4.863,1,0.115,0.0311,0,0.157,0.304,139.941,4
spotify:track:6pe4kkc27IKSkubhLY7a5C,"24's","24's","JBEE",2022-08-18,166027,16,true,,1970-01-01T00:00:00Z,"uk drill,drill","JBee",0.54,0.538,7,-10.838,0,0.389,0.329,0,0.106,0.607,97.542,5
spotify:track:26iFmjYygUfZrUQSvuGGRn,"Cloud","No Borders: European Compilation Project","Headie One;Luciano",2022-11-11,187826,26,true,,1970-01-01T00:00:00Z,"uk drill,grime,drill,uk grime,deutscher hip-hop","Relentless Records",0.898,0.676,3,-6.934,1,0.381,0.112,0.000228,0.337,0.822,144.105,4
spotify:track:1rDfZwXzeotPuDtBJotaK1,"SHOOT","SHOOT","reezy",2023-03-24,159816,49,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Four Music/TEENAGER FOREVER Ent.",0.78,0.574,4,-7.418,0,0.102,0.103,0,0.135,0.425,137.034,4
spotify:track:7u3w4fQhulC1etJbdfmv3Q,"IFTK","IFTK","Tion Wayne;La Roux",2022-05-12,190684,62,true,,1970-01-01T00:00:00Z,"uk drill,drill,grime,uk grime,afroswing","Atlantic Records UK",0.614,0.82,6,-4.32,0,0.226,0.0781,0.0000818,0.618,0.739,146.235,4
spotify:track:5wwPdWKbDEiybmWkZqsGGn,"Next Up - S4-E2, Pt. 1","Next Up - S4-E2","JBEE;Mixtape Madness",2022-02-09,120839,28,true,,1970-01-01T00:00:00Z,"uk drill,drill,grime,uk grime","Mixtape Madness",0.645,0.571,8,-8.954,0,0.293,0.168,0,0.21,0.386,142.986,4
spotify:track:1ftln1emQR93Oyw0pJqN2i,"2CB","Zukunft 1 & 2","RAF Camora;Luciano",2021-10-01,172288,59,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Indipendenza",0.82,0.725,10,-6.449,0,0.208,0.456,0.457,0.114,0.364,125.049,4
spotify:track:2UREu1Y8CO4jXkbvqAtP7g,"Monster","Awake","Skillet",2009-08-21,178013,82,false,,1970-01-01T00:00:00Z,"christlicher rock,christlicher alternative rock,christliche musik","Atlantic Records",0.64,0.957,8,-2.336,1,0.0741,0.0431,0,0.0789,0.692,134.992,4
spotify:track:6fuO9uk9wbjCHvQJqk2Qpx,"paris freestyle - skrilla remix","paris freestyle (skrilla remix)","Pashanim;skrilla",2021-10-25,105982,62,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","Urban",0.745,0.506,9,-6.919,1,0.128,0.0135,0.0937,0.167,0.325,145.041,4
spotify:track:2p7k0RHPeNU8H7CSRWwIgp,"Rasenschach","Rasenschach","Filow",2024-06-17,144894,0,false,,1970-01-01T00:00:00Z,"deutscher indie","1UP Management GmbH",0.882,0.938,9,-6.697,1,0.278,0.0377,0,0.072,0.863,159.015,4
spotify:track:1t3DUBo9FDyH8vROTU4fAi,"EXPENSIVE SHIT","MR. MISUNDERSTOOD","reezy;Luciano",2023-05-12,179600,55,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Four Music/TEENAGER FOREVER Ent.",0.801,0.707,10,-6.298,0,0.415,0.0415,0,0.123,0.894,150.006,4
