Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3kEGL2WgJI0vAyEakijzXb,"Mental Overload","Seishun EP 青春","Yungmon",2024-12-20,138980,32,false,,1970-01-01T00:00:00Z,"cloud rap","ULTRA RARE",0.676,0.494,0,-5.636,0,0.0924,0.554,0,0.195,0.675,169.852,4
spotify:track:0bXeYcCz7NHxf43LsbJOau,"Gear 5","Seishun EP 青春","Yungmon",2024-12-20,125714,32,true,,1970-01-01T00:00:00Z,"cloud rap","ULTRA RARE",0.721,0.671,6,-3.792,1,0.0516,0.0314,0.000532,0.0814,0.114,125.96,4
spotify:track:3tjoq1CMR4YtSUegC5sbU8,"Commitment Issues","Boys Do Cry","RIN",2022-07-15,111146,53,false,,1970-01-01T00:00:00Z,"deutscher hip-hop","GOLD LEAGUE/DIVISION",0.617,0.641,8,-8.254,0,0.288,0.146,0.000072,0.188,0.71,82.259,4
spotify:track:5Ly5Hjdo9Pv4VarjD5YGaL,"Rauch","Rauch","Yungmon",2020-09-25,185903,37,true,,1970-01-01T00:00:00Z,"cloud rap","recordJet",0.718,0.377,4,-10.418,0,0.0478,0.147,0,0.103,0.0592,140.015,4
spotify:track:1m9hyvh3sfakGAWuRPoPMN,"Problemboy","Problemboy","DONDON;Yungmon",2022-12-09,144002,40,true,,1970-01-01T00:00:00Z,"deutscher hip-hop,cloud rap","NODNOD & ULTRA RARE",0.759,0.741,7,-7.324,1,0.0614,0.0914,0,0.567,0.495,115.003,4
spotify:track:6lAv6XVHGYJzTDd4CKsiqm,"7","STAY HIGH","Ufo361;Bonez MC",2021-04-30,148914,55,true,,1970-01-01T00:00:00Z,"deutscher hip-hop,türkischer hip-hop","Stay High",0.691,0.697,2,-7.963,1,0.35,0.0146,0.0247,0.106,0.615,112.012,5
spotify:track:4GUrzAwDBOyEMQTo42GGzf,"Cinnamon Roll","High & Hungrig 3","Bonez MC;Gzuz",2023-04-27,167821,63,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","187 Strassenbande & Vertigo/Capitol",0.722,0.683,8,-5.93,1,0.122,0.26,0.0013,0.25,0.202,172.044,4
spotify:track:27JofWBoi001NLicko8b0k,"Herbst","Herbst","Yungmon",2024-02-16,163278,34,false,,1970-01-01T00:00:00Z,"cloud rap","ULTRA RARE",0.804,0.678,3,-8.168,0,0.112,0.15,0,0.0975,0.481,121.997,4
spotify:track:54nXosPlPn8GPXysQlCiMI,"Fehler meines Lebens","Heartmon","Yungmon",2022-02-25,107677,32,true,,1970-01-01T00:00:00Z,"cloud rap","ULTRA RARE",0.729,0.405,1,-12.167,1,0.0464,0.0346,0,0.239,0.134,111.349,5
spotify:track:5QllDVWTd3lOLcceZsekwX,"1994","1994","RIN;oddworld",2024-09-19,105331,55,false,,1970-01-01T00:00:00Z,"deutscher hip-hop,deutscher indie","GOLD LEAGUE/DIVISION",0.781,0.731,0,-5.972,1,0.0882,0.0366,0.000953,0.114,0.672,166.148,4
spotify:track:6aO1DXT21BJqTA2t79HVTK,"Rennen (Forgotten Song)","Rennen (Forgotten Song)","Yinmon",2023-08-04,200228,28,true,,1970-01-01T00:00:00Z,"","ULTRA RARE",0.696,0.709,7,-8.556,1,0.0427,0.0285,0.0106,0.0783,0.124,90.035,4
