Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3D1vCe7Phmw2AGd0SAuFib,"Schwertschlucken","Zerfall","Kind Kaputt",2019-03-22,193020,15,false,,1970-01-01T00:00:00Z,"deutscher indie,post-hardcore","Uncle M Music",0.482,0.913,4,-9.048,0,0.0488,0.00337,0.0000324,0.343,0.461,162.03,4
spotify:track:0Jee6zWV8GCO41Aemjhu3b,"MAZE OF LIFE","ペルソナQ シャドウ オブ ザ ラビリンス オリジナル・サウンドトラック","川村ゆみ;平田志穂子",2014-07-16,264720,46,false,,1970-01-01T00:00:00Z,"japanische videospielmusik","Mastard Records",0.617,0.836,6,-4.914,0,0.0464,0.0568,0.000136,0.109,0.835,174.961,4
spotify:track:1Nx7KvCw6D3O0W2HwYg9tq,"C’est Comme Ça","This Is Why","Paramore",2023-02-10,149251,52,false,,1970-01-01T00:00:00Z,"pop punk,emo","Atlantic Records",0.789,0.816,1,-3.901,1,0.0303,0.00206,0.000181,0.0508,0.957,131.949,4
spotify:track:0YHTrd78qCsMhzmgBHiZ28,"Enigmatic Feeling","Enigmatic Feeling","Ling tosite sigure",2014-11-05,234400,46,false,,1970-01-01T00:00:00Z,"math rock,anime","Sony Music Labels Inc.",0.464,0.976,10,-2.872,0,0.138,0.000125,0.00000112,0.31,0.328,142.136,4
spotify:track:0VVJ8oBXp5jlr9qQkpMrR7,"Dance!","ペルソナ4 ダンシング・オールナイト オリジナル・サウンドトラック (ADVANCED CD付 COLLECTOR'S EDITION)","平田志穂子;Lotus Juice",2015-07-29,208626,56,false,,1970-01-01T00:00:00Z,"japanische videospielmusik","Mastard Records",0.753,0.929,4,-5.474,0,0.0602,0.146,0.0125,0.358,0.963,134.47,4
spotify:track:2OH4M2Y1u70a44bJOUgmml,"Geisel","Zerfall","Kind Kaputt",2019-03-22,214544,10,false,,1970-01-01T00:00:00Z,"deutscher indie,post-hardcore","Uncle M Music",0.503,0.757,0,-10.329,0,0.0344,0.00674,0.00206,0.238,0.232,154.905,4
spotify:track:7rU6Iebxzlvqy5t857bKFq,"Plastic Love","Expressions","Mariya Takeuchi",2008-05-21,294493,66,false,,1970-01-01T00:00:00Z,"city pop,kayōkyoku,j-pop","WM Japan",0.648,0.875,2,-5.141,0,0.034,0.0747,0.0000964,0.196,0.857,102.517,4
spotify:track:00nmZvZRyzQiYe2tAcDDUb,"abnormalize","i'mperfect","Ling tosite sigure",2013-04-10,216666,51,false,,1970-01-01T00:00:00Z,"math rock,anime","Sony Music Labels Inc.",0.373,0.897,10,-4.052,1,0.0702,0.00000751,0.151,0.0676,0.369,87.477,4
spotify:track:2oo5LldxWpPJH08CQvaFOm,"I Want Love (Studio Mix)","SILENT HILL3 （Original Soundtrack）","Akira Yamaoka",2003-07-16,280160,44,false,,1970-01-01T00:00:00Z,"japanische videospielmusik","Konami Digital Entertainment Co.,Ltd.",0.231,0.594,8,-5.888,0,0.0356,0.0358,0.503,0.121,0.209,171.393,4
spotify:track:5nm8Zp4FSQaBcYOqGFmJcD,"Aufgelöst / Vorwort","Zerfall","Kind Kaputt",2019-03-22,258798,13,false,,1970-01-01T00:00:00Z,"deutscher indie,post-hardcore","Uncle M Music",0.489,0.862,0,-10.558,1,0.0705,0.03,0.0000154,0.0681,0.222,120.097,4
