Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5kB0ORMOVHq1O4lNmsIUIt,"I Beg To Differ (This Will Get Better)","Crisis of Faith","Billy Talent",2022-01-21,216561,49,false,,1970-01-01T00:00:00Z,"punk","WM Canada",0.501,0.992,4,-2.136,0,0.157,0.000218,0,0.308,0.158,146.966,4
spotify:track:429IbFR4yp2J81CeTwF5iY,"Sweetness","Bleed American","Jimmy Eat World",2001-07-17,220026,69,false,,1970-01-01T00:00:00Z,"emo,pop punk","Interscope",0.487,0.898,5,-4.436,1,0.038,0.00305,0,0.26,0.597,135.331,4
spotify:track:6ZOBP3NvffbU4SZcrnt1k6,"Kryptonite","The Better Life","3 Doors Down",2000,233933,82,false,,1970-01-01T00:00:00Z,"post-grunge","Universal Records",0.545,0.865,11,-5.708,0,0.0286,0.00664,0.000011,0.168,0.543,99.005,4
spotify:track:2vAfTicLNe66H4CNvCaGbt,"One Less Problem","Crisis of Faith","Billy Talent",2022-01-21,183282,32,false,,1970-01-01T00:00:00Z,"punk","WM Canada",0.504,0.988,5,-2.566,1,0.188,0.0137,0,0.137,0.612,149.959,4
spotify:track:5jpCJz7X2S5WhKDfwdnagZ,"Diamond on a Landmine","Billy Talent III","Billy Talent",2009-06-30,270800,49,false,,1970-01-01T00:00:00Z,"punk","Warner Music Canada",0.61,0.907,6,-3.97,0,0.0419,0.0000881,0.0136,0.186,0.913,149.898,4
spotify:track:1LVB2mT0DdXxtBVm3jDJah,"Delirium","My Dinosaur Life","Motion City Soundtrack",2010,208986,29,true,,1970-01-01T00:00:00Z,"pop punk,emo","Columbia",0.507,0.943,1,-2.981,1,0.0889,0.00437,0,0.282,0.751,161.246,4
spotify:track:13XIA0ZvONmDZF9lNUHM3U,"The End of Denial","LIKE A DRAGON 8 ORIGINAL SOUNDTRACK","SEGA SOUND TEAM;青木 千紘",2024-03-06,409413,32,false,,1970-01-01T00:00:00Z,"japanische videospielmusik,soundtrack","WAVEMASTER ENTERTAINMENT",0.397,0.927,8,-5.001,1,0.0404,0.000124,0.833,0.117,0.146,158.048,4
spotify:track:2KMDfsg8GNxW5Y6CJ4KLBL,"Riot Girl","The Young and The Hopeless","Good Charlotte",2002-10-04,137093,48,false,,1970-01-01T00:00:00Z,"pop punk,punk,emo","Epic/Daylight",0.515,0.947,3,-3.985,1,0.136,0.00206,0,0.167,0.716,88.076,4
spotify:track:1ZEOIhSn6BKErV59bIgn76,"California Dreamin'","All The Leaves Are Brown The Golden Era Collection","The Mamas & The Papas",2001-08-28,160373,74,false,,1970-01-01T00:00:00Z,"folk rock","Geffen",0.548,0.728,1,-6.631,0,0.0367,0.424,0,0.0525,0.649,112.332,4
spotify:track:1z5VYBhAgRNMduqPZEiLuH,"Miracle Of 22","Lobes","We Are Scientists",2023-01-20,232386,5,false,,1970-01-01T00:00:00Z,"","Grönland",0.458,0.973,9,-3.808,1,0.0679,0.076,0.0000299,0.291,0.543,150.012,4
spotify:track:7BPrvfQ0sOyl8qZhTVpl4T,"Tommy Boy","Tommy Boy","Kid Smoko",2019-09-21,156000,46,false,,1970-01-01T00:00:00Z,"","Smoko Records",0.639,0.752,5,-6.478,1,0.106,0.0482,0,0.0477,0.75,153.942,4
spotify:track:4fQjWjOQX9gJKqvX3mly8q,"Brutality -Rebuild-","LIKE A DRAGON 8 ORIGINAL SOUNDTRACK","SEGA SOUND TEAM;83key;青木 千紘",2024-03-06,219266,31,false,,1970-01-01T00:00:00Z,"japanische videospielmusik,soundtrack","WAVEMASTER ENTERTAINMENT",0.391,0.978,1,-4.047,1,0.0625,0.00000609,0.92,0.338,0.255,174.015,4
spotify:track:5QvxAIzq6NMRToR3sBiM6d,"Wolves","Wolves","Rise Against",2017-06-09,217720,23,false,,1970-01-01T00:00:00Z,"punk,hardcore punk","Virgin Records (US1A)",0.236,0.967,6,-2.604,0,0.0916,0.000166,0.000108,0.413,0.311,168.648,4
spotify:track:6MMjcj1AcwpUH9cprua39J,"Battle -Qadištu-","Shin Megami Tensei V: Vengeance Original Soundtrack","アトラスサウンドチーム;ATLUS GAME MUSIC",2024-06-14,279893,30,false,,1970-01-01T00:00:00Z,"japanische videospielmusik,soundtrack","ATLUS GAME MUSIC",0.554,0.879,11,-6.882,1,0.0714,0.159,0.0416,0.331,0.307,119.949,4
spotify:track:3D1vCe7Phmw2AGd0SAuFib,"Schwertschlucken","Zerfall","Kind Kaputt",2019-03-22,193020,15,false,,1970-01-01T00:00:00Z,"deutscher indie,post-hardcore","Uncle M Music",0.482,0.913,4,-9.048,0,0.0488,0.00337,0.0000324,0.343,0.461,162.03,4
