Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0wEeW8Bwr0fHXuS2zLiDXk,"Duvet - Sped Up Version","Duvet","bôa",2023-03-17,182792,63,false,,1970-01-01T00:00:00Z,"","Nettwerk Music Group",0.59,0.839,1,-9.14,0,0.0274,0.274,0.0038,0.105,0.651,104.605,4
spotify:track:5sBDrrtLGbV64QJnEqfjer,"What It Sounds Like","KPop Demon Hunters (Soundtrack from the Netflix Film)","HUNTR/X;EJAE;AUDREY NUNA;REI AMI;KPop Demon Hunters Cast",2025-06-20,250268,91,false,,1970-01-01T00:00:00Z,"k-pop","K-Pop Demon Hunters",0.513,0.705,1,-4.486,0,0.0641,0.0478,0,0.298,0.346,120.725,4
spotify:track:4WMy4sc1t8KkkGL6XqeFgq,"Skarrsinger Karmelita","Hollow Knight: Silksong (Original Soundtrack)","Christopher Larkin",2025-09-05,107352,58,false,,1970-01-01T00:00:00Z,"soundtrack","Christopher Larkin",0.328,0.635,7,-8.708,0,0.0331,0.666,0.861,0.241,0.431,145.145,4
spotify:track:1I37Zz2g3hk9eWxaNkj031,"Your Idol","KPop Demon Hunters (Soundtrack from the Netflix Film)","Saja Boys;Andrew Choi;Neckwav;Danny Chung;KEVIN WOO;samUIL Lee;KPop Demon Hunters Cast",2025-06-20,191537,92,false,,1970-01-01T00:00:00Z,"k-pop","K-Pop Demon Hunters",0.684,0.844,11,-3.764,0,0.082,0.127,0,0.208,0.361,90.016,4
spotify:track:0wlsgzAk1LaO8MMoXxpz7W,"Duvet - Acoustic","Twilight","bôa",2001-03-21,314320,65,false,,1970-01-01T00:00:00Z,"","Nettwerk Music Group",0.475,0.393,7,-8.563,1,0.0254,0.383,0.00000296,0.115,0.404,172.308,4
spotify:track:5PQwmOZwMhhV8q8QMpCRAZ,"Fool","Twilight","bôa",2001-03-21,307200,58,false,,1970-01-01T00:00:00Z,"","Nettwerk Music Group",0.533,0.68,11,-6.899,0,0.0286,0.0159,0.00000688,0.135,0.114,132.145,4
spotify:track:5DxDLsW6PsLz5gkwC7Mk5S,"Free","KPop Demon Hunters (Soundtrack from the Netflix Film)","Rumi;Jinu;EJAE;Andrew Choi;KPop Demon Hunters Cast",2025-06-20,187963,90,false,,1970-01-01T00:00:00Z,"k-pop","K-Pop Demon Hunters",0.648,0.56,1,-5.597,1,0.0706,0.225,0,0.0991,0.437,139.781,4
spotify:track:2kMjk14RmYyYhhSbipoa9U,"The Sharpest Lives","The Black Parade","My Chemical Romance",2006-10-20,200880,69,false,,1970-01-01T00:00:00Z,"emo,pop punk","Reprise",0.513,0.937,1,-3.427,0,0.0532,0.000111,0.000102,0.083,0.543,155.015,4
spotify:track:3kmpFDYzscOm9xG4RImSnk,"Sister of the Void","Hollow Knight: Silksong (Original Soundtrack)","Christopher Larkin",2025-09-05,126829,49,false,,1970-01-01T00:00:00Z,"soundtrack","Christopher Larkin",0.161,0.124,9,-20.829,0,0.0521,0.844,0.668,0.16,0.0782,55.74,3
spotify:track:0MHStU0muAIEMbwdnebYu2,"Takedown","KPop Demon Hunters (Soundtrack from the Netflix Film)","HUNTR/X;EJAE;AUDREY NUNA;REI AMI;KPop Demon Hunters Cast",2025-06-20,182016,90,false,,1970-01-01T00:00:00Z,"k-pop","K-Pop Demon Hunters",0.73,0.846,1,-4.141,0,0.0994,0.0354,0,0.202,0.709,139.954,4
spotify:track:6tgH0SYdrXs39XKyJgu8q6,"Lost Lace","Hollow Knight: Silksong (Original Soundtrack)","Christopher Larkin",2025-09-05,172187,54,false,,1970-01-01T00:00:00Z,"soundtrack","Christopher Larkin",0.376,0.458,9,-9.959,0,0.0338,0.378,0.936,0.168,0.214,119.054,3
spotify:track:2QJK7zawPDqhwcGa70xxAW,"Amalgamaniac","Rift of the NecroDancer OST","Alex Moukala",2025-02-05,203267,33,false,,1970-01-01T00:00:00Z,"","Music Label",0.62,0.812,1,-8.15,1,0.0981,0.0000259,0.662,0.108,0.517,125.045,4
spotify:track:5OpwZViQUOos3cSrEo5qXv,"Elephant","Twilight","bôa",2001-03-21,234160,62,false,,1970-01-01T00:00:00Z,"","Nettwerk Music Group",0.19,0.783,7,-7.796,1,0.0646,0.299,0.00243,0.0939,0.525,174.27,4
spotify:track:3RXUgPNIbUgFxsDWuBQEt6,"How It’s Done","KPop Demon Hunters (Soundtrack from the Netflix Film)","HUNTR/X;EJAE;AUDREY NUNA;REI AMI;KPop Demon Hunters Cast",2025-06-20,176059,91,false,,1970-01-01T00:00:00Z,"k-pop","K-Pop Demon Hunters",0.604,0.857,2,-3.372,1,0.0967,0.0114,0,0.322,0.614,160.011,4
spotify:track:6hvrwfloI4VWhHqm0Tc4s1,"Lost Verdania","Hollow Knight: Silksong (Original Soundtrack)","Christopher Larkin",2025-09-05,202495,51,false,,1970-01-01T00:00:00Z,"soundtrack","Christopher Larkin",0.408,0.297,8,-16.239,1,0.0343,0.949,0.966,0.158,0.159,109.875,4
spotify:track:3XYS3savfQswgblAhKTSRY,"Crust King Khann","Hollow Knight: Silksong (Original Soundtrack)","Christopher Larkin",2025-09-05,112968,49,false,,1970-01-01T00:00:00Z,"soundtrack","Christopher Larkin",0.63,0.76,2,-8.732,0,0.0403,0.466,0.887,0.335,0.661,145.043,3
spotify:track:7KU3A1fotuV0GXY1doHFT8,"사랑인가 봐 Love, Maybe","KPop Demon Hunters (Soundtrack from the Netflix Film)","MeloMance",2025-06-20,185653,77,false,,1970-01-01T00:00:00Z,"k-balladen,k-pop","K-Pop Demon Hunters",0.411,0.724,8,-3.844,1,0.0833,0.536,0,0.117,0.592,171.928,4
spotify:track:21DXH5Xf8JqoK1jn7QUmFO,"Clover Dancers","Hollow Knight: Silksong (Original Soundtrack)","Christopher Larkin",2025-09-05,74153,48,false,,1970-01-01T00:00:00Z,"soundtrack","Christopher Larkin",0.27,0.601,7,-9.862,1,0.0353,0.655,0.934,0.149,0.449,72.376,4
spotify:track:6rTp6wkoBHQa9CKEjRjqoj,"RAVEVENGE","Rift of the NecroDancer OST","Alex Moukala;Aram Zero",2025-02-05,202303,28,false,,1970-01-01T00:00:00Z,"","Music Label",0.534,0.942,6,-6.183,1,0.116,0.0000131,0.802,0.138,0.472,130.014,4
spotify:track:02sy7FAs8dkDNYsHp4Ul3f,"Soda Pop","KPop Demon Hunters (Soundtrack from the Netflix Film)","Saja Boys;Andrew Choi;Neckwav;Danny Chung;KEVIN WOO;samUIL Lee;KPop Demon Hunters Cast",2025-06-20,150686,92,false,,1970-01-01T00:00:00Z,"k-pop","K-Pop Demon Hunters",0.841,0.852,0,-3.591,1,0.0486,0.0816,0,0.0576,0.758,125.997,4
spotify:track:4clC5Zai3vi9k1iaKZXVIb,"Rift Within","Rift of the NecroDancer OST","Josie Brechner",2025-02-05,197037,24,false,,1970-01-01T00:00:00Z,"","Music Label",0.506,0.938,7,-7.55,1,0.0558,0.000141,0.862,0.748,0.372,162.042,4
spotify:track:3gCzwMYk7Wcwxko6yUbmWV,"Visages - Aria pour un Masque de Colère","Clair Obscur: Expedition 33 (Original Soundtrack)","Lorien Testard;Alice Duport-Percier",2025-04-24,136000,47,false,,1970-01-01T00:00:00Z,"soundtrack","Laced Records",0.257,0.291,7,-11.691,1,0.0375,0.811,0,0.106,0.0799,122.795,4
spotify:track:6Q3lFQgpvhA9VApFKLFZtZ,"Strategy","KPop Demon Hunters (Soundtrack from the Netflix Film)","TWICE",2025-06-20,168645,83,false,,1970-01-01T00:00:00Z,"k-pop","K-Pop Demon Hunters",0.773,0.668,2,-3.96,1,0.06,0.216,0,0.314,0.628,110.006,4
