Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0P3F6xMn3R1Ja8hjJ1HBTO,"Džanum","Džanum","Teya Dora",2023-03-22,174045,66,false,,1970-01-01T00:00:00Z,"","Epic Local",0.326,0.232,6,-10.566,0,0.0302,0.876,0.0000109,0.113,0.186,130.26,4
spotify:track:56wSomSllGESHGhcfHrvEw,"Місто весни","Місто весни","Okean Elzy;Odyn v Kanoe",2021-09-09,252533,45,false,,1970-01-01T00:00:00Z,"","ТОВ "Суперсиметрія"",0.597,0.385,10,-7.441,0,0.0284,0.824,0.00000849,0.115,0.117,102.21,4
spotify:track:1bDCCgqOnu8ZY8d1MPFfup,"Будь мені кимось","Один в каное","Odyn v Kanoe",2021-06-06,243712,42,false,,1970-01-01T00:00:00Z,"","Kanoemusic",0.713,0.382,9,-10.994,0,0.0436,0.871,0.000155,0.101,0.138,121.999,4
spotify:track:4GC6tlXcAsyp4pNrlyo1pb,"У мене немає дому","Один в каное","Odyn v Kanoe",2021-06-06,198428,44,false,,1970-01-01T00:00:00Z,"","Kanoemusic",0.649,0.454,1,-7.102,0,0.0353,0.793,0,0.109,0.423,140.009,4
spotify:track:2GxrNKugF82CnoRFbQfzPf,"i like the way you kiss me","i like the way you kiss me","Artemas",2024-03-19,142514,81,false,,1970-01-01T00:00:00Z,"","Artemas",0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,4
spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M,"Roller","Platte","Apache 207",2019-10-25,157700,66,true,,1970-01-01T00:00:00Z,"deutscher hip-hop","Four Music Local",0.941,0.758,10,-6.47,0,0.17,0.0256,0.00258,0.193,0.683,128.017,4
spotify:track:6EB9gbY9xIU2aCGpKZUm9C,"melodrama","melodrama","Angelina Mango",2024-05-24,147053,42,false,,1970-01-01T00:00:00Z,"","Latarma S.r.l.",0.816,0.682,2,-5.571,0,0.262,0.319,0,0.276,0.495,121.984,4
spotify:track:0uHrMbMv3c78398pIANDqR,"Europapa","Europapa","Joost",2024-02-29,160218,65,false,,1970-01-01T00:00:00Z,"gabba,europop","Joost Klein",0.706,0.94,11,-4.969,0,0.168,0.173,0.000349,0.228,0.479,160.068,4
spotify:track:4sDLQ5atDUHhbikD1UQ2mW,"ZARI","ZARI","Marina Satti",2024-03-07,180979,48,false,,1970-01-01T00:00:00Z,"éntekhno,laïko","Minos - EMI SA Distribution Deals",0.787,0.603,0,-4.282,1,0.0945,0.115,0.00044,0.101,0.563,101.937,4
spotify:track:4QWrK6lpr8rZ6sa8ymqMrq,"No Rules!","No Rules!","Windows95Man",2024-01-16,175896,49,false,,1970-01-01T00:00:00Z,"","All Day Entertainment Oy",0.493,0.949,11,-4.961,0,0.0493,0.0333,0,0.314,0.615,159.975,4
