Track URI,Track Name,Artist Name(s),Duration (ms),Popularity,Explicit,User,playlist year,release_year
spotify:track:2D2lazsae9o1UoVPUAdxyT,21,Gracie Abrams,185172,31,False,Emily,2023,2020
spotify:track:2RvLlxea9woaqb2ZLgAmv7,emma,Casper,195066,40,False,Emily,2023,2023
spotify:track:53dtP2iUMvaF28JZcHnFuU,logical,Olivia Rodrigo,231907,71,False,Emily,2023,2023
spotify:track:401qSkk4KOeBVld2aiCAoK,Lovers to Strangers,Chance Peña,174086,52,True,Emily,2023,2023
spotify:track:2hkcv7xQJgmLvCY3XSixjG,Dussmann,Betterov,217551,45,False,Emily,2023,2022
spotify:track:5ivmcr2ey37sIiZGlKu9IA,Epilog?,Eden Bleak,187889,14,False,Emily,2023,2022
spotify:track:7EHEVPIFS6mOq4BOhlVL3i,letzter song,CRO,182471,63,False,Emily,2023,2021
spotify:track:3Iq8XToI0I9KSnqovkv1AV,Vertigo,Edwin Rosen,210191,67,False,Emily,2023,2022
spotify:track:0X68QrKcRNBXWrVE6iMxKi,nervenheilanstalt,Tiavo,186000,31,False,Emily,2023,2023
spotify:track:1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,219724,85,True,Emily,2023,2023
spotify:track:7BhOH16ud5ybFUeP3wwhby,Bleeding Out,Chance Peña,208608,67,False,Emily,2023,2023
spotify:track:2MQCPdWjQl2FDHMj9L4XqR,Wir sind X,Sharaktah,203571,40,False,Emily,2023,2021
spotify:track:55XOUxXsBBbC07PD3Zml3F,Maze,Juice WRLD,144090,67,True,Emily,2023,2019
spotify:track:3Nl5OkkmS5DaBZvuYofpAt,the grudge,Olivia Rodrigo,189386,76,True,Emily,2023,2023
spotify:track:0tujnJbTdGtlGpjxv2do5r,Jede Nacht,Eden Bleak,184615,5,False,Emily,2023,2022
spotify:track:76YSWx6L6FNsuaP6GWBb8P,All For Us,Labrinth;Zendaya,191710,72,False,Emily,2023,2019
spotify:track:003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,222973,89,False,Emily,2023,2004
spotify:track:7nftwanrXNZxK2l1W6tmHl,Mh Mh,badmómzjay;Juju,142999,40,True,Emily,2023,2023
spotify:track:7kizsInsKbkwsJUBOncDuQ,ON SOME HIGH,SEBASTIAN PAUL,239120,51,False,Emily,2023,2019
spotify:track:6rKSzRi9eLottcieAKjzzA,Wir Lieben Uns - Single Version,Georg Auf Lieder,159079,25,False,Emily,2023,2022
spotify:track:1odExI7RdWc4BT515LTAwj,Daylight,David Kushner,212953,17,False,Emily,2023,2023
spotify:track:1tbqgIhD6sbvgtqWcr6g1Q,KIPPE,Dominik Hartz,114545,0,False,Emily,2023,2023
spotify:track:5OJDNeu3CDWxgfxu2BNown,Blaue Stunde,Provinz,197893,47,False,Emily,2023,2023
spotify:track:7wLxoyWoClSUAlKGjaefQn,Samo mi se spava,Luke Black,173592,0,False,Emily,2023,2023
spotify:track:3IX0yuEVvDbnqUwMBB3ouC,bad idea right?,Olivia Rodrigo,184783,77,True,Emily,2023,2023
spotify:track:7ptNB6qKNJDEL8wrG0BuLq,this is what falling out of love feels like,JVKE,141163,53,False,Emily,2023,2022
spotify:track:4ewazQLXFTDC8XvCbhvtXs,Glimpse of Us,Joji,233456,4,False,Emily,2023,2022
spotify:track:5RX8T3EoTuXcybAxe6oPAw,Cha Cha Cha,Käärijä,175161,63,False,Emily,2023,2023
spotify:track:7AQc9fhKA8sNd6yf5rIYOb,Jil Sander Sun,Betterov,207414,30,False,Emily,2023,2023
spotify:track:5BgnL6gHauuvxe4Ok6W1aC,LosT,Bring Me The Horizon,205368,62,True,Emily,2023,2023
spotify:track:3GLHDvnPSlUqFJT2EitYQE,Parkplatz,Paul Brunner,158182,19,False,Emily,2023,2023
spotify:track:5qDzKUTHCUiKhewBa9STsE,Auf die Party,badmómzjay;Domiziana,164199,50,True,Emily,2023,2023
spotify:track:1rhKdRhTwLQ6nADtMI9sWt,Wohlfühlen,nand,200000,45,False,Emily,2023,2020
spotify:track:1Fid2jjqsHViMX6xNH70hE,Atlantis,Seafret,229613,82,False,Emily,2023,2016
spotify:track:1K1KcmJgKaeqnsisQnhyE1,Mrs. Hollywood,Go-Jo,143840,1,False,Emily,2023,2023
spotify:track:5uu2OCGGrTRS1sIvlMgKwe,i am not who i was,Chance Peña,145438,69,False,Emily,2023,2023
spotify:track:49x8Zp5wDjoquBE1THLLCV,Sweet Disposition,The Temper Trap,231546,63,False,Emily,2023,2009
spotify:track:0c9jFK9AL7CsO4elFpE1rw,Lächel Doch Mal,Shirin David,154522,44,True,Emily,2023,2023
spotify:track:6aIHRl2E7HJ148v0zSE5xq,Nur zu weit,Traumatin,226500,53,False,Emily,2023,2022
spotify:track:1iPJHsKbibxHX26QRhqnmk,cinema,Tiavo;Edo Saiya,146114,26,False,Emily,2023,2023
spotify:track:6N22FZs2ZhPBYi3b9XPajV,Still Don't Know My Name,Labrinth,153294,73,False,Emily,2023,2019
spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,Khalid,202534,82,False,Emily,2023,2017
spotify:track:1D29XOnzolnYq4Nh4Cc2bK,i want you baby,badly,160672,0,False,Emily,2023,2021
spotify:track:2TmNtwrp5DtsrxdaWpN1r5,baron muenchhausen,Tiavo,182727,21,False,Emily,2023,2023
spotify:track:6OMjtuz1sYVsHpdeZPUR1n,Sarà perché ti amo,Ricchi E Poveri,189800,61,False,Emily,2023,1997
spotify:track:3lPr8ghNDBLc2uZovNyLs9,Supermassive Black Hole,Muse,212439,82,False,Emily,2023,2006
spotify:track:0PZ04XgQ14FmKZBg3Gxlhr,Radio,Lana Del Rey,214586,50,True,Emily,2023,2011
spotify:track:1z8cabK9f2r2pXWx30ErUW,The Roads,Jonah Kagen,250597,56,False,Emily,2023,2023
spotify:track:6uVXa2bOnXeCvEH4ZAR9vp,Schlaf gut,Betterov,233675,34,False,Emily,2023,2022
spotify:track:169pWCmfvVazzcL4EXFPgL,You Know It,Colony House,182266,55,False,Emily,2023,2017
spotify:track:5i1ckaduJ5lMO5wRawsuMp,Ava,Famy,238240,61,False,Emily,2023,2012
spotify:track:6joLHyhuMDKkmqbuF8PvIn,Flackern,Eden Bleak,163076,5,False,Emily,2023,2022
spotify:track:5Mhcs48UfZn7CeNv1wgNyT,Klimpa Klimpa,Dominik Hartz,123809,54,False,Emily,2023,2022
spotify:track:7f4bsFFcKOU7ysIPjj0yCj,Falling Slowly,Vwillz,119000,60,True,Emily,2023,2022
spotify:track:0FqBNLXlTNimxmVRdDMj6b,1AM FREESTYLE,Joji,113066,0,False,Emily,2023,2022
spotify:track:7a0ozZuytScEDCmpGfZgHW,Raben,Eden Bleak,174967,5,False,Emily,2023,2022
spotify:track:0m0Ajm118G40tykZvwWQBP,zusammenalleine,Aaron;Dominik Hartz,121574,25,False,Emily,2023,2023
spotify:track:0zJhQWSLhffFIf5bDT86qB,Pendant 24h,Grand Corps Malade;Suzane,175000,53,False,Emily,2023,2021
spotify:track:0j1Ia2lQWrcXrQZI4AdJlk,IDK You Yet,Alexander 23,184638,69,False,Emily,2023,2020
spotify:track:4or7DZfr1xrfurpJhleZa6,Geister,Eden Bleak,161298,3,False,Emily,2023,2022
spotify:track:0WSa1sucoNRcEeULlZVQXj,Can You Feel My Heart,Bring Me The Horizon,227296,79,True,Emily,2023,2013
spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,222369,85,False,Emily,2023,2023
spotify:track:4Uy78XZkxiEcxCyxsNYQ0h,Skinny Bitch,Dominik Hartz,160779,46,False,Emily,2023,2022
spotify:track:3WLwkFXJpZ1VpDxAh0DXzz,She's Casual,The Hunna,183760,41,False,Emily,2023,2016
spotify:track:4jFuj5eMVooMdHbCD0vbWS,He's Not The One,Filip Rudan,175208,21,False,Emily,2023,2021
spotify:track:5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,172964,76,False,Emily,2023,2023
spotify:track:0YYvd9mj8va83hI7iUAWSW,sowas von da (hellwach),Casper,150384,28,False,Emily,2023,2023
spotify:track:5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,272394,88,False,Emily,2023,2013
spotify:track:4VqPOruhp5EdPBeR92t6lQ,Uprising,Muse,304840,78,False,Emily,2023,2009
spotify:track:1c39AwcrkN9srI7Az5662I,NIGHT RIDER,Joji,127986,1,True,Emily,2023,2022
spotify:track:1tTV7mRV9uB2Nr9VcwkuFX,Greek Tragedy,The Wombats,209557,60,False,Emily,2023,2015
spotify:track:4xmg82NG7pGPp0UQBJpwHr,i don't dance,I Hate Myself Because,85600,47,False,Emily,2023,2021
spotify:track:2MNONf35nhHpcv7gtZBVs3,Männer lol,futurebae,104347,39,True,Emily,2023,2022
spotify:track:1bsht2mucwMjJd3ESgaRro,Stay,Hurts,235613,5,False,Emily,2023,2010
spotify:track:6Wm3JfOoyId5zdpmnWYdcE,other side,badly,148738,0,False,Emily,2023,2021
spotify:track:4wGSg2Qqpt2sGCWuAZj6EN,Enjoy the Silence,Depeche Mode;Daniel Miller;Phil Legg,257630,1,False,Emily,2023,2020
spotify:track:4HyJ1VGNu3IszMV0sTsqKP,Allein Allein,Polarkreis 18,240253,62,False,Emily,2023,2008
spotify:track:197lWjWh0y232Ye131s1kO,teufel trägt prada,Tiavo;Edo Saiya,178285,30,True,Emily,2023,2022
spotify:track:5bgwqaRSS3M8WHWruHgSL5,8TEEN,Khalid,228593,71,False,Emily,2023,2017
spotify:track:0qZXLvlsM5ELq3WfZXgnCi,Why Can't We Be Friends?,The Academic,203599,52,False,Emily,2023,2018
spotify:track:26hOm7dTtBi0TdpDGl141t,Die For You,Joji,211666,9,False,Emily,2023,2022
spotify:track:46eK1kembooWblMi7M7yLM,Look at Me Now,Brennan Savage,150000,63,True,Emily,2023,2017
spotify:track:5WPdbg03Pbxw0MAFH9jxwD,WO WARST DU?,Casper,203677,30,False,Emily,2023,2022
spotify:track:6XWGkUp5gJEd9Jhaipw13x,sonne,Tiavo,124161,25,False,Emily,2023,2023
spotify:track:1abwytAhbWeHrbsA9eODOy,Feeling Like The End,Joji,102480,1,False,Emily,2023,2022
spotify:track:0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),Sam Smith;Kim Petras,156943,73,False,Emily,2023,2023
spotify:track:1eeQXNQnhBiU6yYBNb3lO0,TNT (feat. Tua),Casper;Tua,197490,39,False,Emily,2023,2022
spotify:track:5G70ULH9UVir1OchTrpwrr,2015 - 2022,Tiavo,341333,8,True,Emily,2023,2022
spotify:track:4IBK0s9QPphO37DPcYhsAO,Ein Song reicht,Kraftklub,204304,57,False,Emily,2023,2022
spotify:track:78cMSZpcRA7fas6KLoUJXV,gegen die wand,Edo Saiya;Sharaktah,141274,30,False,Emily,2023,2022
spotify:track:2NNq2V3PD8u55LqGs8ImU1,Hated,YUNGBLUD,189533,58,True,Emily,2023,2023
spotify:track:1hod1JBUtaLol1PiMxggW7,nackt,Tiavo;Jugo Ürdens,177560,9,True,Emily,2023,2022
spotify:track:0U6X8jiH7iHREOZKo8yajq,Ein Teil,CRO,175480,3,False,Emily,2023,2012
spotify:track:7zBscbZUCr4jEABrfV9g03,Before The Day Is Over,Joji,213706,1,False,Emily,2023,2022
spotify:track:1MQLdI6RONvfjEz4K6ZRXp,War,Chance Peña,158363,63,False,Emily,2023,2021
spotify:track:5TqXJCtxrRoIBKufYQBFPE,schnell schnell,Tiavo,122057,23,False,Emily,2023,2023
spotify:track:00yXb1NU2vtNBUxsRhahX6,Wem mach ich was vor,Tua,175907,40,True,Emily,2023,2019
spotify:track:4DYKah8mcZf0O4l9Gt7woU,Dissolve,Joji,177400,0,False,Emily,2023,2022
spotify:track:6UCKAo1KXnjFHj8RMXlZe5,Hell,X Lovers,199207,23,True,Emily,2023,2022
spotify:track:2g1KggY9PKvsoEAOaiz4xx,Daisy,Ashnikko,146523,67,True,Emily,2023,2021
spotify:track:2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,Artemas,142514,81,False,Emily,2024,2024
spotify:track:7jWNHuhGttkZmIVlxQ4Nh5,Altbaudielen,Ivo Martin,150382,46,False,Emily,2024,2024
spotify:track:0QTGYi9HA0ZesLVpDdk6jq,Benzin,Jugo Ürdens;Tiavo,174004,24,False,Emily,2024,2024
spotify:track:6FhrSFDYQgVcvWJ6y03pmB,Eine Ode an Wien,BIBIZA,186500,50,False,Emily,2024,2023
spotify:track:7bkUa9kDFGxgCC7d36dzFI,Rote Flaggen,Berq,224591,70,True,Emily,2024,2023
spotify:track:0CXDYCitN5F7l3J6u7Q5Wd,Panik,SKUPPIN,150115,21,False,Emily,2024,2024
spotify:track:7dIi6DS9RA6PDTU90CcNoV,fuß baumeln,Zartmann;Drumla,147004,45,False,Emily,2024,2024
spotify:track:0FmMsF3ptcfuZWW1HmvaRQ,Schick mit Scheck,BIBIZA,132300,40,False,Emily,2024,2023
spotify:track:1Vp0bkf6uEF72RMiPdsdn3,STILL,Berq,136482,46,False,Emily,2024,2024
spotify:track:3Nl5OkkmS5DaBZvuYofpAt,the grudge,Olivia Rodrigo,189386,76,True,Emily,2024,2023
spotify:track:5V03tsbEzYG0PmRrh3K4rF,Rockland,Gracie Abrams,217368,63,False,Emily,2024,2021
spotify:track:3edFSoZ9Iz3kcFOGsn6RNQ,XY,error,167016,26,True,Emily,2024,2024
spotify:track:0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,218423,90,False,Emily,2024,2024
spotify:track:1CfXReZpkv5l10m1Zc1mGn,meer,JEREMIAS,226151,6,False,Emily,2024,2024
spotify:track:5CscrLqFBgPfZR8fGtikov,making the bed,Olivia Rodrigo,198866,78,False,Emily,2024,2023
spotify:track:7sqMAeagnyI0IJ1rtVYMRR,Blau,BIBIZA,172700,48,False,Emily,2024,2023
spotify:track:55cT6YeU7DCjdxieI7VOQF,Bodo Wartke,GbR,141950,16,False,Emily,2024,2024
spotify:track:7mzPAftljnsFmU6131Pqcd,Tripping Over Air,Aidan Bissett,182382,59,True,Emily,2024,2022
spotify:track:53dtP2iUMvaF28JZcHnFuU,logical,Olivia Rodrigo,231907,71,False,Emily,2024,2023
spotify:track:293vHX2BLN69UGkFrnI0Hv,Femme fatale,BIBIZA,171379,44,False,Emily,2024,2023
spotify:track:1s4FnYPkihRFSzyfCNlRXb,Love Situation (911),Blanks,162186,34,False,Emily,2024,2023
spotify:track:4eBpW5a4XKurdaNRvuEoAM,dirty little secret,Artemas,181346,35,False,Emily,2024,2024
spotify:track:26QLJMK8G0M06sk7h7Fkse,love is embarrassing,Olivia Rodrigo,154516,73,True,Emily,2024,2023
spotify:track:4T92ObGWmucqtdeUenhKV7,Opernring Blues,BIBIZA,149582,47,False,Emily,2024,2023
spotify:track:2VOZniNxFIDl8ydLltrMNb,Escapism.,RAYE;070 Shake,272373,76,True,Emily,2024,2022
spotify:track:3k7KJKjbRlsH7dctaLy2VC,vienna,Tiavo,180444,9,True,Emily,2024,2023
spotify:track:0whmIaItqkT8e5PVuPyhvT,Perfect (Exceeder),Mason;Princess Superstar,161250,65,False,Emily,2024,2007
spotify:track:60V5w1qzVdhHC7rCitskgF,Hautevolee,BIBIZA,165963,33,False,Emily,2024,2023
spotify:track:7fzHQizxTqy8wTXwlrgPQQ,MILLION DOLLAR BABY,Tommy Richman,155151,9,False,Emily,2024,2024
spotify:track:7LbUv7w2z7rEbNqp1uIL9U,Fallingforyou,The 1975,240670,69,False,Emily,2024,2013
spotify:track:2FbTZrdW0KGqH7TOdZRHiP,Küssen,01099;Gustav;Zachi,139919,53,False,Emily,2024,2024
spotify:track:5ny6LgRh91IgjiQ6UHQKQs,er kriegt mich nicht,Zsá Zsá;Replay Okay,89253,13,True,Emily,2024,2024
spotify:track:4WvqHkM4217e14FE9InM59,Fühlst du gar nichts? (feat. Nina Chuba),ENNIO;Nina Chuba,200666,0,False,Emily,2024,2024
spotify:track:6tNgRQ0K2NYZ0Rb9l9DzL8,obsessed,Olivia Rodrigo,170541,74,True,Emily,2024,2024
spotify:track:6duUkdeQum9BfyFRtteEcL,Stille Leitung,moé;SOMA,172142,35,False,Emily,2024,2023
spotify:track:2ZpNVf05uVzubaPX6Sd2VK,Ärger,Zsá Zsá,103563,47,True,Emily,2024,2024
spotify:track:6WmIyn2fx1PKQ0XDpYj4VR,Love It If We Made It,The 1975,252925,67,True,Emily,2024,2018
spotify:track:0RVfdPEGEAXiPUQPC9J8Yz,wach,Tiavo,167662,10,True,Emily,2024,2023
spotify:track:5vK9ch4rzr7KK6nW6nmRom,Stille Leitung - Acoustic,moé;SOMA,147750,28,False,Emily,2024,2024
spotify:track:3Vw4SxsPsVwG4xwK3Il0mP,PIROUETTEN,Berq,147811,60,False,Emily,2024,2024
spotify:track:0E2Wdy1kn6zXJyYjDzmtpS,Discoschnupfen,BIBIZA;Nicholas Ofczarek,142675,25,False,Emily,2024,2024
spotify:track:0GhicvpFqowrAG2S3WfVoT,Baba,Apsilon,154685,41,False,Emily,2024,2024
spotify:track:2S5EaTjKDKfjvFxAStd1yq,Eisen,moé;SOMA,185000,38,False,Emily,2024,2023
spotify:track:4YZzgBcmIipb1qBBHZy2vX,italo schlager für dich,Tiavo,177352,28,False,Emily,2024,2023
spotify:track:3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,159245,91,False,Emily,2024,2022
spotify:track:6zP4Utvok4QRXlNYBZkpGa,KETA UND KRAWALL,Ikkimel;Barré,125492,66,True,Emily,2024,2023
